question,option_a,option_b,option_c,option_d,correct_answer,explanation,remark
भौतिक वातावरण के अंतर्गत आता है,केवल भाषा के व्याकरण-नियम,केवल नैतिक मूल्य,"जलवायु, भोजन, आवास और भौगोलिक परिवेश",केवल धार्मिक रीति-रिवाज,C,"भौतिक वातावरण प्राकृतिक-भौतिक दशाएँ हैं जो शरीर-स्वास्थ्य को छूती हैं। मूल्य, रीति और भाषा सामाजिक-सांस्कृतिक वातावरण हैं। आयाम: शारीरिक विकास पर भौतिक, सामाजिक-संवेगात्मक पर सांस्कृतिक अधिक स्पष्ट पड़ता है, पर दोनों अंतःक्रिया करते हैं।",Expected - CG TET | CDP - विकास के आयाम व कारक - भौतिक वातावरण
सामाजिक वातावरण का सबसे पहला और प्रभावशाली स्रोत माना जाता है,संसद,परिवार,अंतरराष्ट्रीय न्यायालय,विश्व बैंक,B,"परिवार प्रथम समाजीकरण है—भाषा, स्नेह, अनुशासन, लिंग-भूमिका। संसद/बैंक/न्यायालय वयस्क संस्थाएँ हैं, शिशु के तात्कालिक वातावरण नहीं। विद्यालय द्वितीयक स्रोत है, ‘पहला’ परिवार रहता है।",Expected - CG TET | CDP - विकास के आयाम व कारक - परिवार
विद्यालय बाल विकास को मुख्यतः किस रूप में प्रभावित करता है?,केवल जन्मजात प्रतिवर्त पैदा करके,वंशानुक्रम को पूर्णतः नष्ट करके,"औपचारिक अधिगम, साथी संपर्क और मूल्य-निर्माण के वातावरण के रूप में",केवल जीन बदलकर,C,"विद्यालय पर्यावरणीय संस्था है—पाठ्यचर्या, शिक्षक, सहपाठी व्यक्तित्व गढ़ते हैं; जीन नहीं बदलते। प्रतिवर्त जन्मजात हैं, स्कूल उन्हें ‘पैदा’ नहीं करता। वंश नष्ट नहीं होता, अनुभव उसके ऊपर परत चढ़ाता है।",Expected - CG TET | CDP - विकास के आयाम व कारक - विद्यालय
साथी समूह विकास के किस आयाम को सर्वाधिक प्रत्यक्ष प्रभावित करता है?,सामाजिक और संवेगात्मक विकास,केवल हड्डी की आनुवंशिक लंबाई,केवल नेत्र का जन्मजात रंग,केवल रक्त समूह,A,"सहपाठी सहयोग, प्रतिस्पर्धा, पहचान व संवेग सिखाते हैं। रक्त समूह, हड्डी-जीन, नेत्र रंग वंशानुगत शारीरिक लक्षण हैं, साथी इन्हें नहीं बदलते। Topic-1 में साथी व्यक्तिगत कारक नहीं था; यहाँ वह बाह्य सामाजिक कारक है—दोनों कथन अलग स्तरों पर सही हैं।",Expected - CG TET | CDP - विकास के आयाम व कारक - साथी समूह
संस्कृति बच्चे के विकास को प्रभावित करती है क्योंकि,"वह केवल जलवायु है, व्यवहार नहीं",वह जन्म के समय रक्त समूह बदल देती है,वह गुणसूत्रों की संख्या 46 से 50 कर देती है,"वह भाषा, मूल्य, रीति-रिवाज और अपेक्षित व्यवहार सिखाती है",D,"सांस्कृतिक वातावरण सामाजिक विरासत है, जैविक नहीं। गुणसूत्र 23 जोड़े/46 रहते हैं, संस्कृति गिनती नहीं बदलती। रक्त समूह आनुवंशिक है। संस्कृति को केवल जलवायु कहना भौतिक-सांस्कृतिक भ्रम है। CG TET पाठ्यक्रम में सामाजिक-सांस्कृतिक पृष्ठभूमि कारक है।",Expected - CG TET | CDP - विकास के आयाम व कारक - संस्कृति
निम्न सामाजिक-आर्थिक स्तर विकास को कैसे प्रभावित कर सकता है?,"पोषण, स्वास्थ्य सेवा और शैक्षिक अवसर सीमित हो सकते हैं",वंशानुक्रम पूर्णतः समाप्त हो जाता है,सभी बच्चे अनिवार्यतः प्रतिभाशाली हो जाते हैं,जीन स्वतः नष्ट हो जाते हैं,A,"गरीबी पर्यावरणीय बाधा है—भोजन, पुस्तक, उत्तेजना कम मिल सकती है, इसलिए क्षमता अनखुली रह सकती है। जीन नष्ट नहीं होते। आर्थिक स्तर प्रतिभा की गारंटी नहीं, न ही वंश मिटाता है। शिक्षक को वंचित बच्चे की क्षमता को वातावरण देकर सहारा देना चाहिए।",Expected - CG TET | CDP - विकास के आयाम व कारक - सामाजिक-आर्थिक स्तर
संतुलित पोषण किस आयाम को सबसे प्रत्यक्ष प्रभावित करता है?,केवल चुनाव प्रणाली को,शारीरिक वृद्धि तथा मस्तिष्क के विकास को,केवल व्याकरण के नियमों को,केवल धार्मिक विश्वास को,B,"प्रोटीन, कैलोरी, सूक्ष्म पोषक तत्व ऊँचाई, वजन व मस्तिष्क-संज्ञानात्मक विकास चलाते हैं। विश्वास/व्याकरण/चुनाव सांस्कृतिक-नागरिक पक्ष हैं, आहार के सीधे उत्पाद नहीं। कुपोषण मानसिक-शारीरिक दोनों आयाम रोक सकता है, इसलिए पोषण महत्वपूर्ण पर्यावरणीय कारक है।",Expected - CG TET | CDP - विकास के आयाम व कारक - पोषण
दीर्घकालिक बीमारी बाल विकास को प्रभावित करती है क्योंकि,यह हमेशा बुद्धि को जन्म से तिगुना कर देती है,यह वातावरण को पूरी तरह निष्प्रभावी कर देती है,यह केवल गुणसूत्र जोड़ती है,"ऊर्जा, विद्यालय उपस्थिति और सामाजिक सहभागिता घट सकती है",D,"स्वास्थ्य आंतरिक-शारीरिक दशा है जो अनुभव के अवसर घटाती है। बीमारी जीन नहीं जोड़ती, न बुद्धि जादुई बढ़ाती। वातावरण प्रभावहीन नहीं होता—चिकित्सा व सहयोग से क्षति कम की जा सकती है। अतः स्वास्थ्य आंतरिक कारक, चिकित्सा बाह्य सहारा।",Expected - CG TET | CDP - विकास के आयाम व कारक - स्वास्थ्य
जन्मपूर्व विकास को प्रभावित करने वाला मातृ कारक है,केवल विश्वविद्यालय की फीस,केवल बच्चे की कक्षा का रंग,केवल माध्यमिक विद्यालय का समय-सारिणी,"माँ का पोषण, तनाव, रोग और हानिकारक पदार्थ",D,"गर्भाशय पहला वातावरण है। माँ का आहार, संक्रमण, मद्य/धूम्र, तनाव भ्रूण तक पहुँचते हैं। कक्षा-रंग व स्कूल बच्चे के जन्म के बाद के कारक हैं। यह दिखाता है कि ‘वातावरण’ जन्म के बाद ही शुरू नहीं होता।",Expected - CG TET | CDP - विकास के आयाम व कारक - जन्मपूर्व कारक
प्रारंभिक अनुभवों को विकास में निर्णायक माना जाता है क्योंकि,जीन 5 वर्ष बाद कार्य करना बंद कर देते हैं,मस्तिष्क की प्लास्टिसिटी आरंभिक वर्षों में अधिक होती है,केवल 40 वर्ष की आयु के बाद सीखना संभव है,जन्म के बाद अनुभव का कोई प्रभाव नहीं पड़ता,B,"संवेदनशील काल में भाषा, लगाव, उद्दीपन का गहरा असर होता है। अनुभव जन्म के बाद भी चलते हैं, न कि प्रभावहीन। सीखना 40 वर्ष की प्रतीक्षा नहीं करता। जीन जीवनभर अभिव्यक्त हो सकते हैं। बाद के अनुभव भी सुधार ला सकते हैं, पर प्रारंभिक आधार मजबूत हो तो विकास सरल होता है।",Expected - CG TET | CDP - विकास के आयाम व कारक - प्रारंभिक अनुभव
संवेदनशील काल (Sensitive period) का अर्थ है,वह अवधि जिसमें विशेष अनुभव का विकास पर अपेक्षाकृत अधिक प्रभाव पड़ता है,वंशानुक्रम का पूर्ण विराम,वह अवधि जिसमें कोई भी अनुभव बेकार होता है,केवल वृद्धावस्था का दूसरा नाम,A,"उदाहरण: शैशव में भाषा-श्रवण, लगाव। अनुभव बेकार नहीं, प्रभाव की तीव्रता अधिक होती है। यह वृद्धावस्था नहीं। वंश रुकता नहीं, पर्यावरण का समय-खिड़की खुलती है। क्रांतिक/संवेदनशील काल प्रकृति-पोषण की समयबद्ध अंतःक्रिया है।",Expected - CG TET | CDP - विकास के आयाम व कारक - संवेदनशील काल
जॉन बी. वाटसन का पर्यावरणवादी मत था कि,शिक्षक का कोई योगदान नहीं होता,गर्भावस्था के बाद वातावरण निष्क्रिय हो जाता है,उपयुक्त वातावरण से बच्चे को विभिन्न दिशाओं में ढाला जा सकता है,केवल जीन ही व्यक्तित्व तय करते हैं,C,"वाटसन व्यवहारवाद: दें वातावरण, बनाएँ डॉक्टर या चोर—अति पर्यावरणवाद। आधुनिक TET दोनों की अंतःक्रिया मानता है, पर प्रश्न ‘वाटसन के अनुसार’ हो तो वातावरण प्रधान। केवल जीन प्रकृतिवाद है। शिक्षक को नकारना वाटसन-विरोधी है। वातावरण जन्म बाद भी सक्रिय रहता है।",Expected - CG TET | CDP - विकास के आयाम व कारक - वाटसन
गेसेल के अनुसार विकास में प्रधान है,परिपक्वता जो आनुवंशिक समय-सारिणी से चलती है,केवल रटंत अभ्यास बिना जैविक तैयारी के,केवल दंड,केवल धन,A,"Gesell: maturationist—बैठना-चलना आंतरिक घड़ी से आते हैं, जबरदस्ती जल्दी नहीं। दंड/रटंत बिना परिपक्वता के कौशल नहीं जगाते। धन पर्यावरण है, गेसेल का केंद्र नहीं। शिक्षक को आयु-उपयुक्त अपेक्षा रखनी चाहिए।",Expected - CG TET | CDP - विकास के आयाम व कारक - गेसेल परिपक्वता
परिपक्वता और अधिगम में सही संबंध है,परिपक्वता केवल पुस्तकों से आती है,अधिगम परिपक्वता का विरोधी है और उसे रोकता है,दोनों एक-दूसरे से पूर्णतः असंगत हैं,अधिगम तब प्रभावी होता है जब संबंधित परिपक्वता आ चुकी हो,D,"तैयारी (readiness): चलना सिखाना तब जब पेशियाँ तैयार हों। अधिगम परिपक्वता रोकता नहीं, उसके बाद फूलता है। परिपक्वता पुस्तक से नहीं, जैविक क्रम से आती है। दोनों पूरक हैं, असंगत नहीं—वंश (परिपक्वता) × वातावरण (अधिगम)।",Expected - CG TET | CDP - विकास के आयाम व कारक - परिपक्वता व अधिगम
मनुष्य में सामान्यतः गुणसूत्रों के जोड़ों की संख्या होती है,7 जोड़े,100 जोड़े,2 जोड़े,23 जोड़े,D,23 जोड़े (46) आनुवंशिक आधार हैं—वंशानुक्रम का संरचनात्मक तथ्य। 7/100/2 गलत संख्याएँ distractor हैं। लिंग: 22 ऑटोसोम जोड़े + 1 लिंग जोड़ा (XX/XY)। यह आंतरिक जैविक कारक है।,Expected - CG TET | CDP - विकास के आयाम व कारक - गुणसूत्र
मानव में लिंग निर्धारण सामान्यतः होता है,केवल शिक्षक की इच्छा से,XX मादा तथा XY नर संयोजन से,केवल भोजन की मात्रा से,केवल विद्यालय की वर्दी से,B,"आनुवंशिक लिंग XX/XY; पिता का Y नर निर्धारित करता है। वर्दी, भोजन, शिक्षक इच्छा सामाजिक-पर्यावरण हैं, जैविक लिंग नहीं बनाते। लैंगिक भूमिकाएँ संस्कृति सिखाती हैं—यह वंश (जैविक लिंग) और वातावरण (भूमिका) का अंतर स्पष्ट करता है।",Expected - CG TET | CDP - विकास के आयाम व कारक - लिंग निर्धारण
एक जैसे (समरूप) जुड़वाँ बच्चों का अध्ययन क्यों महत्वपूर्ण है?,समान वंश में वातावरण के प्रभाव की तुलना की जा सकती है,क्योंकि उनके जीन कभी समान नहीं होते,क्योंकि उन पर वातावरण का प्रभाव संभव ही नहीं,क्योंकि वे हमेशा अलग ग्रह पर पलते हैं,A,Identical twins ≈ समान जीन। यदि अलग वातावरण में पले तो अंतर मुख्यतः पोषण का माना जाता है; साथ पले तो समानता वंश+साझा घर दोनों की हो सकती है। जीन असमान कहना गलत (समरूप)। ग्रह/प्रभावहीनता अवैज्ञानिक है। TET में twin study प्रकृति-पोषण का प्रमाण है।,Expected - CG TET | CDP - विकास के आयाम व कारक - जुड़वाँ अध्ययन
विकास को बहुकारकीय प्रक्रिया कहने का अर्थ है,"वंश, स्वास्थ्य, परिवार, संस्कृति और शिक्षा साथ-साथ कार्य करते हैं",केवल एक शिक्षक से सारा विकास रुक जाता है,केवल जलवायु से नैतिकता जन्म लेती है,केवल एक जीन से सारा व्यक्तित्व बनता है,A,"कोई एक कारक पर्याप्त नहीं। एक-जीन निर्धारण सरलीकरण है। एक शिक्षक प्रभावशाली हो सकता है पर ‘सारा विकास’ का एकमात्र स्रोत नहीं। जलवायु नैतिकता नहीं गढ़ती, संस्कृति-अनुभव गढ़ते हैं। यही अंतःक्रियात्मक आयाम है।",Expected - CG TET | CDP - विकास के आयाम व कारक - बहुकारकीय
गंभीर कुपोषण का संभावित विकासात्मक परिणाम है,शारीरिक वृद्धि मंद होना तथा सीखने की क्षमता प्रभावित होना,वंशानुक्रम का पूर्ण रूप से बदल जाना,कोई प्रभाव न पड़ना,गुणसूत्रों की संख्या स्वतः बढ़ जाना,A,"कुपोषण पर्यावरणीय घाव है—stunting, ध्यान/स्मृति कमजोरी। गुणसूत्र गिनती नहीं बढ़ती, जीन-कोड नहीं पलटता; अभिव्यक्ति (phenotype) बदलती है। ‘कोई प्रभाव नहीं’ तथ्यों के विरुद्ध। पोषण कार्यक्रम इसीलिए बाल विकास नीति का भाग हैं।",Expected - CG TET | CDP - विकास के आयाम व कारक - कुपोषण
अधिनायकवादी (Authoritarian) पालन-पोषण का बच्चों पर संभावित प्रभाव है,आज्ञाकारिता के साथ कम आत्मविश्वास और कम spontaneity,हमेशा सर्वाधिक सृजनशीलता और स्वतंत्र निर्णय,वंशानुक्रम का लोप,शारीरिक वृद्धि का रुक जाना अनिवार्य रूप से,A,"कठोर नियंत्रण, कम संवाद—बच्चे दब्बू/चिंतित हो सकते हैं। सृजन/स्वतंत्र निर्णय प्रजातांत्रिक घर से अधिक जुड़ते हैं (2022 PYQ)। पालन जीन नहीं मिटाता। ऊँचाई रुकना पोषण/रोग से, मात्र अनुशासन शैली से अनिवार्य नहीं। घरेलू वातावरण संवेगात्मक आयाम गढ़ता है।",Expected - CG TET | CDP - विकास के आयाम व कारक - अधिनायकवादी पालन
अत्यधिक अनुमेय (Permissive) पालन का जोखिम है,आत्म-नियंत्रण और नियम-पालन कमजोर पड़ सकते हैं,विद्यालय नामक संस्था समाप्त हो जाती है,बच्चा अनिवार्यतः SRY जीन खो देता है,बुद्धि परीक्षण अवैध हो जाते हैं,A,स्नेह हो पर सीमा न हो तो संवेगात्मक-सामाजिक अनुशासन कमजोर। जीन नहीं खोते। परीक्षण/विद्यालय समाप्त नहीं होते। प्रजातांत्रिक पालन—स्नेह+उचित सीमा—TET का वांछित पर्यावरण है।,Expected - CG TET | CDP - विकास के आयाम व कारक - अनुमेय पालन
