question,option_a,option_b,option_c,option_d,correct_answer,explanation,remark
Which of the following electrolyte imbalance is associated with Digoxin toxicity?,Hypokalemia,Hypernatremi,Hypernatremia,Hypocalcemia,A,"Low potassium increases myocardial sensitivity to digoxin and predisposes to digoxin toxicity (arrhythmias, nausea, visual changes). Hyperkalemia can result from severe toxicity, but hypokalemia is the classic precipitant.","Previous Year - AIIMS NORCET 2023, Memory Based"
Parkland formula for fluid calculation in burn patients,4 ml x BSA x weight,3 ml x BSA x weight,2 ml x BSA x weight,1 ml x BSA x weight,A,"The Parkland formula is 4 ml of Ringer lactate x percent TBSA burned x body weight in kg, given over 24 hours, with half in the first 8 hours from the time of burn.","Previous Year - AIIMS NORCET 2023, Memory Based"
"What is the drug of choice, specifically for the management of convulsions in eclampsia?",Diazepam,Pethidine,Magnesium sulphate,Ampicillin,C,Magnesium sulphate is the drug of choice to control and prevent eclamptic seizures. It is superior to diazepam or phenytoin for this indication. Delivery remains the definitive treatment.,"Previous Year - AIIMS NORCET 2023, Memory Based"
The microorganism that is usually a part of the normal vaginal flora but can cause meningitis in newborns is:,Corynebacterium species,Candida albicans,Group B streptococci,Staphylococcus epidermidis,C,Group B Streptococcus (Streptococcus agalactiae) colonizes the maternal genital tract and is a leading cause of early-onset neonatal sepsis and meningitis after perinatal transmission.,"Previous Year - AIIMS NORCET 2023, Memory Based"
A pregnant woman diagnosis serve anemia (Hb less than 7 gm/dL) will be treated by:,Advice to take food rich in iron and vitamin C,Advise to take iron and folic acid tablet 1 OD for 1 month,Packed cell transfusion,Administer iron IM injection 1 OD for 1 month,C,"Severe anemia in pregnancy (Hb less than 7 g/dL), especially near term or with symptoms, is managed with packed red cell transfusion. Oral or IM iron is used for milder deficiency, not as immediate treatment of severe anemia.","Previous Year - AIIMS NORCET 2023, Memory Based"
How many moments of hand hygiene have been laid down by WHO?,7,8,6,5,D,"WHO specifies five moments of hand hygiene: before touching a patient, before clean/aseptic procedures, after body fluid exposure risk, after touching a patient, and after touching patient surroundings.","Previous Year - AIIMS NORCET 2023, Memory Based"
Most common symptom of alcohol withdrawal is:,Rhinorrhea,Bodyache,Tremor,Diarrhea,C,Tremulousness (the shakes) is the most common early feature of alcohol withdrawal. Rhinorrhea is more typical of opioid withdrawal. Severe withdrawal can progress to seizures and delirium tremens.,"Previous Year - AIIMS NORCET 2023, Memory Based"
DMPA is an injectable contraceptive given every,3 weeks,3 months,2 months,2 years,B,Depot medroxyprogesterone acetate (DMPA) is a progestin-only injectable contraceptive given intramuscularly every 3 months (12 weeks).,"Previous Year - AIIMS NORCET 2023, Memory Based"
Normal compression to ventilation ratio:,30:2,15:2,2:30,15:1,A,"For adult CPR, the standard compression-to-ventilation ratio is 30:2 for both single and two-rescuer resuscitation. 15:2 is used for two-rescuer CPR in infants and children.","Previous Year - AIIMS NORCET 6 Prelims 2024, Memory Based"
"While using a cardiotocogram the fetal heart rate gradually decreases and returns to baseline, but the nadir of the deceleration occurs after the peak of each uterine contraction. This indicates:",Early deceleration,Late deceleration,Variable deceleration,Acceleration,B,Late decelerations begin after the contraction peak and recover after the contraction ends. They indicate uteroplacental insufficiency. Early decelerations mirror contractions and are due to head compression.,"Previous Year - AIIMS NORCET 6 Prelims 2024, Memory Based"
A patient is having calcium level of 7 mg/dL. Identify ECG changes seen in this patient?,T wave inversion,Prolonged QT interval,Prominent T wave,Peak U wave,B,"Hypocalcemia (serum calcium 7 mg/dL) prolongs the QT interval, mainly by lengthening the ST segment. Peaked T waves occur in hyperkalemia; prominent U waves occur in hypokalemia.","Previous Year - AIIMS NORCET 6 Prelims 2024, Memory Based"
"A 32 week pregnant mother is having abdominal pain, tenderness and fetal distress. What will be the diagnosis in this patient?",Abruptio placenta,Placenta previa,Abortion,Ectopic Pregnancy,A,Painful vaginal bleeding or uterine tenderness with fetal distress in the third trimester is characteristic of placental abruption. Placenta previa typically causes painless bleeding. Ectopic pregnancy presents in the first trimester.,"Previous Year - AIIMS NORCET 6 Prelims 2024, Memory Based"
A 5 year old baby drank kerosene accidentally. What is the priority management in this case?,Gastric lavage,NPO till help arrive,Induce vomiting,Give activated charcoal,B,"Kerosene is a hydrocarbon. Vomiting, gastric lavage, and charcoal are avoided because aspiration can cause chemical pneumonitis. Keep the child NPO, protect the airway, and seek emergency care.","Previous Year - AIIMS NORCET 6 Prelims 2024, Memory Based"
"After blood transfusion, sign and symptom of circulatory overload is:","Tachycardia, tachypnea, jugular vein distension","Bradycardia, hypertension, fever","Bradycardia, hypotension, fever","Tachycardia, fever, hypotension",A,"Transfusion-associated circulatory overload (TACO) presents with respiratory distress, tachycardia, tachypnea, raised JVP, and hypertension from fluid overload. Fever and hypotension suggest a hemolytic or septic reaction.","Previous Year - AIIMS NORCET 6 Prelims 2024, Memory Based"
A patient in the post-op area after having a right side mastectomy. What should be the priority care for this patient?,Take BP from right side,Take BP from left side,Attach pulse oximetry on left side,Attach pulse oximetry on right side,B,"After axillary dissection or mastectomy, blood pressure, venipuncture, and constriction are avoided on the operative arm to reduce lymphedema risk. After a right mastectomy, BP is taken on the left arm.","Previous Year - AIIMS NORCET 6 Prelims 2024, Memory Based"
The healthcare provider is caring for a patient on a ventilator with an endotracheal tube in place. What assessment data indicates the tube has migrated too far down the trachea?,Decreased breath sounds on the left side of the chest,A high pressure alarm sounds,Increased crackles auscultation bilaterally,Low pressure alarm sounds,A,"If an ET tube is advanced too far it commonly enters the right main bronchus, leaving the left lung poorly ventilated, so left-sided breath sounds decrease. Tube position should then be corrected.","Previous Year - AIIMS NORCET 6 Prelims 2024, Memory Based"
An Anganwadi worker assess the malnutrition status by:,Weight for height,Height for age,Weight for age,Mid arm circumference,C,"Under ICDS, Anganwadi workers mainly use weight-for-age (growth chart) to screen children for undernutrition because it is simple and identifies underweight from both wasting and stunting.","Previous Year - AIIMS NORCET 2022, Memory Based"
Which of the below is a mortality indicator?,Disability rate,Incidence rate,Prevalence rate,Crude death rate,D,"Crude death rate is a mortality indicator (deaths per 1000 population per year). Incidence and prevalence measure morbidity; disability rate measures impairment, not death.","Previous Year - ESIC Staff Nurse 2019, Shift II"
The normal levels of sodium in plasma is,135-143 mEq/L,97-106 mEq/L,90-196 mg/100 ml,60-100 mg/dl,A,Normal serum/plasma sodium is about 135-145 mEq/L (the exam option 135-143 mEq/L is within this range). 97-106 mEq/L is the chloride range; 60-100 mg/dL is a fasting glucose range.,"Previous Year - ESIC Staff Nurse 2019, Shift III"
Patient complains of pain and has redness with swelling at the site of IV. The nurse must,Stop infusion and remove IV cannula,Apply warm moist pack to the reddened area,Start nasal oxygen,Change IV tubing and the solution,A,"Pain, redness, and swelling at an IV site indicate phlebitis or infiltration. The infusion must be stopped and the cannula removed. Warm compresses may be used afterwards, not while the cannula remains in place.","Previous Year - ESIC Staff Nurse 2019, Shift III"
The elderly individual is at greater risk for dehydration than the middle-aged adult because ______,The elderly have more muscle mass,The elderly drinks little fluid,Their bodies are almost 80% water,Compensatory mechanisms work less efficiently,D,"Aging reduces thirst, renal concentrating ability, and other compensatory responses that conserve water, so older adults dehydrate more easily. They have less, not more, muscle mass and a lower percentage of body water.","Previous Year - ESIC Staff Nurse 2019, Shift III"
Mantoux Test (Purified Protein Derivative) is significantly positive when the erythema measures,15 mm or greater,3.5 mm - 9.9 mm,5 mm - 10 mm,10 mm - 14.9 mm,A,"The Mantoux test is read by induration (often worded as reaction size in exams), not simple erythema. In persons with no TB risk factors, induration of 15 mm or more is considered positive. Lower cut-offs (5 or 10 mm) apply to high-risk groups.","Previous Year - ESIC Staff Nurse 2019, Shift III"
The cerebrospinal fluid is secreted by ________,Pons,Choroid plexuses,Arachnoid villi,Central sulcus,B,CSF is produced by the choroid plexus in the cerebral ventricles. Arachnoid villi absorb CSF into the venous sinuses; they do not secrete it.,"Previous Year - ESIC Staff Nurse 2019, Shift III"
The endocrine gland present in the base of the brain is:,Parathyroid,Pancreas,Pituitary,Thyroid,C,The pituitary gland lies in the sella turcica at the base of the brain and is connected to the hypothalamus. Thyroid and parathyroid glands are in the neck; the pancreas is in the abdomen.,"Previous Year - ESIC Staff Nurse 2016, Shift I"
Haematopoiesis in adults occur at:,Liver,Spleen,Red bone marrow,Yellow bone marrow,C,"In healthy adults, blood cell formation occurs in red bone marrow (axial skeleton and proximal long bones). Liver and spleen are sites in fetal life or in extramedullary hematopoiesis; yellow marrow is mainly fat.","Previous Year - ESIC Staff Nurse 2016, Shift I"
"In a healthy man who weighs 70 kg, the total body water is approx:",22 liters,32 liters,42 liters,52 liters,C,Total body water is about 60% of body weight in an adult man. For 70 kg this equals about 42 liters (0.60 x 70 = 42 L).,"Previous Year - ESIC Staff Nurse 2016, Shift I"
Clean catch midstream technique is used to collect:,Blood sample,Puss sample,Urine sample,CSF sample,C,A clean-catch midstream specimen is a method of collecting urine for microscopy and culture while minimizing contamination from the urethra and perineum.,"Previous Year - ESIC Staff Nurse 2016, Shift II"
How many drops per minute would you administer when the doctor's order states that the client should receive 1000 cc of fluid for 8 hours and the IV set delivers 20 gtts per cc?,48 gtts,51 gtts,42 gtts,31 gtts,C,"Drops/min = (volume x drop factor) / time in minutes = (1000 x 20) / (8 x 60) = 20000/480 = 41.67, which rounds to 42 gtt/min.","Previous Year - RRB Staff Nurse 2019, 21 July Shift I"
Which committee is known as the Health Survey and Planning Committee?,Bhore Committee,Shrivastav Committee,Kartar Committee,Mudaliar Committee,D,The Mudaliar Committee (1962) is the Health Survey and Planning Committee. The Bhore Committee (1946) is the Health Survey and Development Committee.,"Previous Year - RRB Staff Nurse 2019, 20 July Shift III"
What information the nurse should consider while collecting the history of a child with suspected rheumatic fever?,A fever that started 2 days ago,Vomiting for 2 days,Lack of interest in food,A recent episode of pharyngitis,D,Acute rheumatic fever follows group A streptococcal pharyngitis. A recent sore throat or pharyngitis is the key historical clue; Jones criteria then confirm the diagnosis.,"Previous Year - RRB Staff Nurse 2019, 21 July Shift II"
The primary purpose of administering corticosteroids to the child with nephrotic syndrome is,To increase blood pressure,To decrease proteinuria,To prevent infection,To reduce inflammation,B,Steroids (usually prednisolone) are first-line in idiopathic childhood nephrotic syndrome because they reduce glomerular protein leak. Reduced inflammation is the mechanism; the therapeutic goal is remission of proteinuria. Steroids increase infection risk and may raise BP.,"Previous Year - RRB Staff Nurse 2019, 21 July Shift II"
Intraosseous drug administration is typically used for children,Over age 6,Under age 6,Critically ill and over age 6,Critically ill under age 6,D,"In pediatric emergency practice reflected in this 2019 paper, intraosseous access is used when intravenous access cannot be obtained quickly in a critically ill young child. IO access is a non-collapsible marrow route for fluids and drugs.","Previous Year - RRB Staff Nurse 2019, 21 July Shift II"
Which of the following is the most important initial care when chemical burn is suspected?,Excessive flushing with water for 20-30 minutes,Provide the calm environment,Remove all the dressings,Immediately cover the burn area,A,"Immediate copious irrigation with water for at least 20-30 minutes removes or dilutes the chemical and is the priority, after ensuring scene safety and removing contaminated clothing. Do not delay irrigation to cover the wound.",Previous Year - JIPMER Staff Nurse 2020
A nurse has just performed an NG tube insertion procedure. Most accurate method for confirming the NG tube placement is ___________,Dip in a bowel of water,Observing patient for coughing aspiration of content and pH monitoring,Auscultation,X-ray,D,Radiographic confirmation is the most accurate method to verify NG tube position after insertion. Auscultation and the water-bubble test are unreliable. pH of aspirate is useful but less definitive than X-ray.,Previous Year - JIPMER Staff Nurse 2020
"Following delivery nurse suspect atonic PPH in the client, which among the following is the priority nursing intervention?",Report to the doctor,Administer ergometrine,Administer 10 unit of oxytocin,Massage the uterus,D,"In uterine atony the first immediate nursing action is bimanual or fundal massage to stimulate contraction and reduce bleeding, while calling for help and preparing uterotonics such as oxytocin.",Previous Year - JIPMER Staff Nurse 2020
Ventilator associated pneumonia is defined as pneumonia that occur ________ hours or after ET intubation.,48 hours,36 hours,24 hours,12 hours,A,VAP is pneumonia developing 48 hours or more after endotracheal intubation and mechanical ventilation. Pneumonia appearing earlier is not classified as ventilator-associated.,Previous Year - JIPMER Staff Nurse 2020
Which of the following ethical principles refers to keeping one's promises?,Fidelity,Non-maleficence,Beneficence,Veracity,A,"Fidelity means loyalty and keeping commitments to the patient. Veracity is truth-telling, beneficence is doing good, and non-maleficence is avoiding harm.","Previous Year - DSSSB Nursing Officer 2019, 27 August Shift 3"
Which of the following vaccinations is given through the intradermal route?,BCG,Japanese encephalitis,Hepatitis B,Measles,A,"BCG is given intradermally over the left upper arm. Hepatitis B and measles are intramuscular or subcutaneous; Japanese encephalitis vaccines used in India are given IM or SC, not intradermally.","Previous Year - DSSSB Nursing Officer 2019, 28 August Shift 2"
"If 500 ml of normal saline is to be infused in 4 hours, then how many drops need to be infused per minute? The drop factor is 20 mega drops per ml.",42,46,21,38,A,"Drops/min = (volume x drop factor) / minutes = (500 x 20) / (4 x 60) = 10000/240 = 41.67, rounded to 42 drops per minute.","Previous Year - DSSSB Nursing Officer 2019, 28 August Shift 2"
What is the best nursing approach to use when the patient thinks that his/her food is poisoned?,Explain to the patient that it is a symptom of a disease,Offer food in the patient's own container,Assure the patient that all food served in the hospital is safe to eat,"Allow the patient to consume packed food or food from unopened containers, fruits and eggs",D,This is a delusion of persecution. Arguing or simple reassurance does not change a delusion. Offering sealed or unopened foods the patient can see opened is a practical way to maintain nutrition while building trust.,"Previous Year - DSSSB Nursing Officer 2019, 28 August Shift 2"
