question,option_a,option_b,option_c,option_d,correct_answer,explanation,remark
Which artery supplies blood to the muscles of the proximal leg and knee joint?,Lateral plantar artery,Peroneal artery,Inferior mesenteric artery,Popliteal artery,D,The popliteal artery is the continuation of the femoral artery behind the knee. It supplies the knee and proximal leg.,"Previous Year - RRB Nursing Superintendent 2025, 29 April Shift 2 | Anatomy"
The portal vein drains blood into the:,Kidneys,Liver,Spleen,Inferior vena cava directly,B,The hepatic portal vein carries nutrient-rich blood from the GI tract and spleen to the liver for processing before it enters the IVC via hepatic veins.,Expected - RRB Nursing Superintendent | Anatomy - Circulation
Normal adult heart rate at rest is about:,60-100 beats/min,120-140 beats/min,40-50 beats/min,20-30 beats/min,A,"Resting adult heart rate is typically 60-100 beats per minute, set by the SA node.",Expected - RRB Nursing Superintendent | Anatomy - Heart
Blood group AB has:,Only A antigen,Anti-A and anti-B antibodies,No A or B antigens,A and B antigens and no anti-A or anti-B antibodies,D,"Group AB red cells have both A and B antigens and the plasma has neither anti-A nor anti-B, so AB is the universal recipient for red cells.",Expected - RRB Nursing Superintendent | Anatomy - Blood
The universal donor blood group for packed red cells is:,O negative,A negative,B positive,AB positive,A,"O negative red cells lack A, B and RhD antigens, so they can be given in emergency to most recipients as packed cells.",Expected - RRB Nursing Superintendent | Anatomy - Blood
Haematopoiesis in adults occurs mainly in the:,Yellow bone marrow,Spleen,Red bone marrow,Liver,C,"In adults, blood cells are formed in red marrow of the axial skeleton and proximal long bones. Liver and spleen are fetal or emergency sites.",Expected - RRB Nursing Superintendent | Anatomy - Blood
The largest lymphoid organ in the body is the:,Tonsil,Lymph node,Spleen,Thymus,C,"The spleen is the largest lymphoid organ. It filters blood, stores platelets and removes old RBCs. The thymus is largest in childhood relative to body size.",Expected - RRB Nursing Superintendent | Anatomy - Lymphatic
T lymphocytes mature in the:,Bone marrow only,Liver,Thymus,Spleen,C,T cells originate in bone marrow but mature in the thymus. B cells mature in bone marrow.,Expected - RRB Nursing Superintendent | Anatomy - Lymphatic
Lymph from the right upper limb and right side of head drains into the:,Thoracic duct,Cisterna chyli,Azygos vein,Right lymphatic duct,D,The right lymphatic duct drains the right upper quadrant. The thoracic duct drains the rest of the body into the left subclavian vein.,Expected - RRB Nursing Superintendent | Anatomy - Lymphatic
Peyer's patches are found in the:,Colon,Stomach,Ileum,Duodenum,C,Peyer's patches are aggregated lymphoid follicles in the ileum. They are part of gut-associated lymphoid tissue (GALT).,Expected - RRB Nursing Superintendent | Anatomy - Lymphatic
The right lung has how many lobes?,Two,One,Three,Four,C,"The right lung has three lobes (upper, middle, lower). The left lung has two lobes (upper and lower) to leave space for the heart.",Expected - RRB Nursing Superintendent | Anatomy - Respiratory
The left lung has how many lobes?,Three,Two,Four,Five,B,The left lung has two lobes. The cardiac notch and lingula are on the left upper lobe.,Expected - RRB Nursing Superintendent | Anatomy - Respiratory
Gas exchange in the lungs occurs in the:,Bronchi,Alveoli,Larynx,Trachea,B,Alveoli are thin-walled air sacs surrounded by capillaries. Oxygen and carbon dioxide diffuse across the alveolar-capillary membrane.,Expected - RRB Nursing Superintendent | Anatomy - Respiratory
The voice box is the:,Trachea,Epiglottis,Larynx,Pharynx,C,The larynx contains the vocal cords. The epiglottis closes the laryngeal inlet during swallowing to prevent aspiration.,Expected - RRB Nursing Superintendent | Anatomy - Respiratory
Which layer of the nasal cavity warms the inspired air during inhalation?,Buccopharyngobasilar fascia,Respiratory mucosa,Pharyngobasilar fascia,Olfactory mucosa,B,"Vascular respiratory mucosa of the nasal cavity warms, humidifies and filters inspired air. Olfactory mucosa is for smell.","Previous Year - RRB Nursing Superintendent 2025, 29 April Shift 1 | Anatomy"
Which of the following best describes the role of the paranasal sinuses in respiration?,They enhance the voice resonance and lighten the skull,They produce surfactant for efficient gas exchange,They regulate the pH of inhaled air,They filter and warm the air before it reaches the lungs,A,Paranasal sinuses lighten the skull and add resonance to the voice. Warming and filtering of air is mainly a function of nasal mucosa.,"Previous Year - RRB Nursing Superintendent 2025, 29 April Shift 2 | Anatomy"
Surfactant in the lungs is produced by:,Ciliated cells,Type I alveolar cells,Goblet cells,Type II alveolar cells,D,"Type II pneumocytes secrete surfactant, which reduces alveolar surface tension and prevents collapse. Type I cells form the gas-exchange surface.",Expected - RRB Nursing Superintendent | Anatomy - Respiratory
The trachea divides into two main bronchi at the:,Carina,Hilum of liver,Angle of Louis only,Cricoid cartilage,A,"The trachea bifurcates at the carina (about T4/T5, sternal angle). The right main bronchus is shorter, wider and more vertical, so inhaled foreign bodies often enter the right lung.",Expected - RRB Nursing Superintendent | Anatomy - Respiratory
The serous membrane covering the lungs is the:,Meninges,Pleura,Pericardium,Peritoneum,B,Visceral pleura covers the lung surface; parietal pleura lines the chest wall. The pleural cavity between them contains a thin film of fluid.,Expected - RRB Nursing Superintendent | Anatomy - Respiratory
The innermost layer of the gastrointestinal tract is named as,Serosa,Sub mucosa,Mucosa,Muscularis Externa,C,"GI wall layers from inside out are mucosa, submucosa, muscularis externa and serosa/adventitia. Mucosa is the secretory and absorptive lining.","Previous Year - RRB Nursing Superintendent 2025, 29 April Shift 1 | Anatomy"
Which layer controls motility of the digestive tract?,Lamina propria layer,Submucosa layer,Muscle layer,Serosa layer,C,The muscularis externa produces peristalsis. Inner circular and outer longitudinal smooth muscle mix and propel food.,"Previous Year - RRB Nursing Superintendent 2025, 29 April Shift 2 | Anatomy"
Which one of the following is the last part of the small intestine?,Ileum,Jejunum,Duodenum,Appendix,A,"Small intestine order: duodenum, jejunum, ileum. The ileum meets the caecum at the ileocaecal valve. The appendix is attached to the caecum.","Previous Year - RRB Staff Nurse 2019, 21 July Shift I | Anatomy"
The first part of the small intestine is the:,Ileum,Caecum,Jejunum,Duodenum,D,The C-shaped duodenum receives chyme from the stomach and bile and pancreatic juice at the ampulla of Vater.,Expected - RRB Nursing Superintendent | Anatomy - Digestive
The largest gland in the body is the:,Pancreas,Thyroid,Parotid,Liver,D,"The liver is the largest gland. It produces bile, synthesizes plasma proteins, stores glycogen and detoxifies blood.",Expected - RRB Nursing Superintendent | Anatomy - Digestive
Which one of the following is a function of the liver?,Synthesis of plasma protein,Elimination of carbohydrates,Concentration of bile,Secretion of cholecystokinin,A,The liver synthesizes albumin and clotting factors. The gallbladder concentrates bile. CCK comes from duodenal I cells.,"Previous Year - RRB Staff Nurse 2019, 21 July Shift I | Anatomy"
Bile is stored and concentrated in the:,Spleen,Liver,Gallbladder,Pancreas,C,Hepatocytes secrete bile into ducts; the gallbladder stores and concentrates it and releases it into the duodenum when fat is eaten.,Expected - RRB Nursing Superintendent | Anatomy - Digestive
The pancreas opens into the:,Duodenum,Jejunum,Stomach,Ileum,A,The main pancreatic duct joins the common bile duct and opens at the major duodenal papilla (ampulla of Vater) in the second part of duodenum.,Expected - RRB Nursing Superintendent | Anatomy - Digestive
The part of the stomach that joins the duodenum is the:,Cardia,Pylorus,Fundus,Greater curvature,B,The pyloric sphincter controls emptying of gastric contents into the duodenum. Cardia is near the oesophagus; fundus is the upper dome.,Expected - RRB Nursing Superintendent | Anatomy - Digestive
The vermiform appendix is attached to the:,Rectum,Caecum,Sigmoid colon,Ileum,B,"The appendix arises from the posteromedial wall of the caecum, usually below the ileocaecal junction.",Expected - RRB Nursing Superintendent | Anatomy - Digestive
Peristalsis is a function of:,Skeletal muscle only,Bone,Smooth muscle of the gut,Cardiac muscle only,C,Peristalsis is wave-like contraction of gut smooth muscle that propels food along the digestive tract.,Expected - RRB Nursing Superintendent | Anatomy - Digestive
Villi and microvilli increase surface area mainly in the:,Stomach,Oesophagus,Small intestine,Rectum,C,Intestinal villi and enterocyte microvilli greatly increase the absorptive surface of the small intestine.,Expected - RRB Nursing Superintendent | Anatomy - Digestive
Where is kidney located?,Oesophagus,Aorta,Urethra,Abdomen,D,"Kidneys lie retroperitoneal in the abdomen, on either side of the spine. The right kidney is slightly lower because of the liver.","Previous Year - RRB Staff Nurse 2019, 20 July Shift III | Anatomy"
The functional unit of the kidney is the:,Glomerulus only,Nephron,Ureter,Neuron,B,"Each kidney has about one million nephrons. A nephron includes glomerulus, Bowman's capsule, tubules and collecting duct components.",Expected - RRB Nursing Superintendent | Anatomy - Urinary
"When one kidney fails to develop while other kidney is present with normal size, position and function, this congenital disease is called--------.",Renal dysplasia,Horseshoe kidney,Phimosis,Renal agenesis,D,Unilateral renal agenesis means one kidney is absent from birth. The solitary kidney usually hypertrophies and functions normally.,"Previous Year - RRB Nursing Superintendent 2025, 29 April Shift 1 | Anatomy"
Urine is stored in the:,Ureter,Urethra,Kidney,Urinary bladder,D,The bladder is a muscular reservoir. Ureters bring urine from the kidneys; the urethra carries it out of the body.,Expected - RRB Nursing Superintendent | Anatomy - Urinary
The tube that carries urine from the kidney to the bladder is the:,Vas deferens,Common bile duct,Urethra,Ureter,D,Each ureter is a muscular tube from the renal pelvis to the bladder. The urethra carries urine from the bladder to the exterior.,Expected - RRB Nursing Superintendent | Anatomy - Urinary
Filtration of blood in the kidney occurs at the:,Collecting duct,Loop of Henle,Ureter,Glomerulus,D,Glomerular capillaries filter plasma into Bowman's capsule. Tubules then reabsorb and secrete to form urine.,Expected - RRB Nursing Superintendent | Anatomy - Urinary
The male urethra is longer than the female urethra. Approximate length of the female urethra is:,25 cm,18-20 cm,10-12 cm,3-5 cm,D,The female urethra is about 4 cm; the male urethra is about 18-20 cm. The short female urethra is one reason UTIs are more common in women.,Expected - RRB Nursing Superintendent | Anatomy - Urinary
The triangular area in the bladder floor between the ureteric orifices and urethral opening is the:,Calyx,Pelvis,Trigone,Hilum,C,The trigone is a smooth triangular area sensitive to stretch. Infections and stones often involve this region.,Expected - RRB Nursing Superintendent | Anatomy - Urinary
Where does the fertilization takes place?,Infundibulum,Ovary,Ampulla,Isthmus,C,"Fertilization normally occurs in the ampulla of the fallopian tube, the widest part of the tube.","Previous Year - RRB Staff Nurse 2019, 21 July Shift I | Anatomy"
The female gonads are the:,Ovaries,Cervix,Fallopian tubes,Uterus,A,Ovaries produce ova and the hormones oestrogen and progesterone. The uterus is for implantation and pregnancy.,Expected - RRB Nursing Superintendent | Anatomy - Reproductive
The lower narrow part of the uterus that opens into the vagina is the:,Body,Cervix,Cornu,Fundus,B,The cervix connects the uterine cavity to the vagina. It dilates in labour. The fundus is the top of the uterus.,Expected - RRB Nursing Superintendent | Anatomy - Reproductive
The male gonad is the:,Prostate,Seminal vesicle,Testis,Epididymis,C,Testes produce spermatozoa and testosterone. The epididymis stores sperm; the prostate adds seminal fluid.,Expected - RRB Nursing Superintendent | Anatomy - Reproductive
Spermatozoa mature and are stored mainly in the:,Epididymis,Seminal vesicle,Cowper's gland,Prostate,A,"Sperm leave the testis and mature in the epididymis, where they are stored until ejaculation.",Expected - RRB Nursing Superintendent | Anatomy - Reproductive
The prostate gland is located:,In the scrotum,Above the kidney,Behind the stomach,Around the male urethra below the bladder,D,The prostate surrounds the proximal male urethra. Enlargement can obstruct urine flow (BPH).,Expected - RRB Nursing Superintendent | Anatomy - Reproductive
The commonest site of implantation of the blastocyst is the:,Cervix,Fallopian tube,Upper uterine wall (fundus/body),Ovary,C,Normal implantation is in the endometrium of the upper uterus. Implantation in the tube is an ectopic pregnancy.,Expected - RRB Nursing Superintendent | Anatomy - Reproductive
Bartholin's glands are present in the:,Male urethra,Breast,Vulva (vaginal vestibule),Ovary,C,Greater vestibular (Bartholin) glands open into the vaginal vestibule and provide lubrication.,Expected - RRB Nursing Superintendent | Anatomy - Reproductive
Which one of the following is the Master gland of the body?,Adrenal gland,Parathyroid gland,Thyroid gland,Pituitary gland,D,"The pituitary at the base of the brain controls other endocrine glands with tropic hormones, so it is called the master gland.","Previous Year - RRB Staff Nurse 2019, 20 July Shift III | Anatomy"
Where is oxytocin synthesized?,Paraventricular nuclei of the hypothalamus,Para axial nuclei of the hypothalamus,Hypophyseal portal plexus,Hypothalamo Epiphyseal plexus,A,Oxytocin is synthesized in hypothalamic paraventricular (and supraoptic) nuclei and stored in the posterior pituitary.,"Previous Year - RRB Staff Nurse 2019, 20 July Shift III | Anatomy"
The thyroid gland is located in the:,"Neck, in front of the trachea",Cranial cavity,Abdomen,Thorax behind the heart,A,"The thyroid lies in the anterior neck, wrapping the trachea below the larynx. It has two lobes joined by an isthmus.",Expected - RRB Nursing Superintendent | Anatomy - Endocrine
How many parathyroid glands are usually present?,Six,Four,Two,Three,B,"There are usually four parathyroid glands on the posterior thyroid. They secrete PTH, which raises blood calcium.",Expected - RRB Nursing Superintendent | Anatomy - Endocrine
The adrenal glands are situated:,On the superior pole of each kidney,Behind the stomach only,Below the kidneys,In the sella turcica,A,Each adrenal (suprarenal) gland sits on the upper pole of a kidney. Cortex makes steroids; medulla makes adrenaline.,Expected - RRB Nursing Superintendent | Anatomy - Endocrine
Islets of Langerhans are present in the:,Thyroid,Liver,Pancreas,Spleen,C,"Pancreatic islets are endocrine clusters: beta cells make insulin, alpha cells make glucagon, delta cells make somatostatin.",Expected - RRB Nursing Superintendent | Anatomy - Endocrine
The pineal gland secretes:,Melatonin,ADH,Thyroxine,Insulin,A,"The pineal gland in the epithalamus secretes melatonin, which helps regulate sleep-wake cycles.",Expected - RRB Nursing Superintendent | Anatomy - Endocrine
Glucocorticoids are secreted by which layer of the adrenal cortex?,Adrenal medulla,Zona reticularis,Zona glomerulosa,Zona fasciculata,D,"Zona glomerulosa makes mineralocorticoids (aldosterone), zona fasciculata makes glucocorticoids (cortisol), zona reticularis makes androgens. Medulla makes catecholamines.",Expected - RRB Nursing Superintendent | Anatomy - Endocrine
Which structures act as wires of a telephone in the body?,Muscles,Nerves,Arteries,Veins,B,"Nerves conduct electrical impulses between the CNS and the body, comparable to telephone wires carrying signals.","Previous Year - RRB Staff Nurse 2019, 21 July Shift I | Anatomy"
The structural and functional unit of the nervous system is the:,Osteon,Nephron,Sarcomere,Neuron,D,"The neuron (nerve cell) receives and transmits impulses. A typical neuron has dendrites, a cell body and an axon.",Expected - RRB Nursing Superintendent | Anatomy - Nervous system
The three meninges covering the brain from outside to inside are:,"Dura, pia, arachnoid","Pia, arachnoid, dura","Arachnoid, dura, pia","Dura, arachnoid, pia",D,"Meninges are dura mater (outer), arachnoid mater (middle) and pia mater (inner, on the brain surface). CSF flows in the subarachnoid space.",Expected - RRB Nursing Superintendent | Anatomy - Nervous system
Cerebrospinal fluid is produced by the:,Falx cerebri,Pia mater,Choroid plexus,Arachnoid villi,C,Choroid plexuses in the ventricles secrete CSF. Arachnoid granulations absorb CSF into venous sinuses.,Expected - RRB Nursing Superintendent | Anatomy - Nervous system
The largest part of the human brain is the:,Pons,Medulla oblongata,Cerebellum,Cerebrum,D,"The cerebrum is the largest part and is responsible for higher functions such as thought, memory, language and voluntary movement.",Expected - RRB Nursing Superintendent | Anatomy - Nervous system
The centre for vital functions like heartbeat and respiration is mainly in the:,Cerebellum,Corpus callosum,Thalamus,Medulla oblongata,D,"The medulla oblongata in the brainstem contains cardiac, respiratory and vasomotor centres. Injury here is often fatal.",Expected - RRB Nursing Superintendent | Anatomy - Nervous system
