question,option_a,option_b,option_c,option_d,correct_answer,explanation,remark
निम्नलिखित में से कौन सा सिद्धांत पुनर्बलन का सिद्धांत भी कहलाता है?,स्फूर्त अनुकूलन सिद्धांत,उद्दीपन प्रतिक्रिया सिद्धांत,क्लासिकल कंडीशनिंग सिद्धांत,सूझ या अंतर्दृष्टि का सिद्धांत,A,"सही उत्तर (A) स्किनर का स्फूर्त/क्रियाप्रसूत अनुकूलन है—व्यवहार परिणाम (पुनर्बलन) से नियंत्रित। (B)(C) पावलॉव/S-R शास्त्रीय अनुबंधन; पुनर्बलन पद ऑपरेंट का है। (D) कोहलर गेस्टाल्ट सूझ है, पुनर्बलन-केंद्रित नहीं। नामों को सिद्धांत से मिलाकर रखें।",Previous Year - CG TET 2022 Paper 1
"पियाजे के सिद्धांत में एक प्रक्रिया जो धारणाओं और अनुभव के बीच ‘पुराने’ और ‘नए’ के बीच संतुलन बनाने वाली क्रिया है, को जाना जाता है",आत्मसातीकरण,समंजन,ज्ञान भंग / अशांति,संतुलन,D,"सही उत्तर (D) Equilibration/संतुलन है—आत्मसातन और समंजन के बीच स्व-नियमन। (A) केवल पुराने ढाँचे में फिट करना। (B) केवल ढाँचा बदलना। (C) अशांति (disequilibrium) असंतुलन है, जो संतुलन की ओर धकेलती है, स्वयं संतुलन नहीं। प्रश्न ‘पुराने-नए का संतुलन’ स्पष्टतः Equilibration पूछता है।",Previous Year - CG TET 2022 Paper 1
"लॉरेंस कोहलबर्ग के अनुसार “एक कार्य संपादित करना व कुछ करना क्योंकि दूसरे उसे स्वीकार करते हैं”, नैतिकता के ____ चरण का प्रतिनिधित्व करता है",पारंपरिक,पोस्ट-पारंपरिक,औपचारिक-पारंपरिक,पूर्व-पारंपरिक,A,"सही उत्तर (A) पारंपरिक स्तर है—अच्छा लड़का/लड़की, सामाजिक स्वीकृति। (B) उत्तर-पारंपरिक सार्वभौमिक नैतिक सिद्धांत व अंतरात्मा है, भीड़ की स्वीकृति नहीं। (C) गैर-मानक पद। (D) पूर्व-पारंपरिक दंड/लाभ है, ‘दूसरे स्वीकार करें’ नहीं। स्तर के उदाहरण रटें।",Previous Year - CG TET 2022 Paper 1
"पियाजे के अनुसार, संज्ञानात्मक विकास की दूसरी अवस्था है",संवेदी-प्रेरक अवस्था/काल,औपचारिक संक्रिया काल,प्राक्-संक्रिया काल,मूर्त संक्रिया काल,C,"सही उत्तर (C) प्राक्/पूर्व-संक्रिया (2-7) दूसरी अवस्था है। (A) पहली है। (D) तीसरी। (B) चौथी। 2022 ने क्रम नहीं, ‘दूसरी’ पूछा—संख्या के साथ नाम बाँधें।",Previous Year - CG TET 2022 Paper 1
एक 6-7 वर्ष का बच्चा दूसरों के दृष्टिकोण को स्वीकार नहीं कर पाता,क्योंकि वह बहुत छोटा है।,क्योंकि वह आत्मकेन्द्रित है।,क्योंकि वह बुद्धिमान नहीं है।,क्योंकि वह कल्पनाशील है।,B,"सही उत्तर (B) है। पूर्व-संक्रिया की आत्मकेन्द्रिता: बच्चा मानता है दुनिया उसके नजरिए जैसी है। 6-7 इस अवस्था के अंत के निकट है। (A) ‘छोटा’ अस्पष्ट है, सिद्धांत-पद नहीं। (C) बुद्धि-हीनता नहीं, विकासात्मक विशेषता है। (D) कल्पना शक्ति है, दृष्टिकोण न ले पाने का कारण नहीं। शिक्षक बहु-दृष्टिकोण वाले कार्य दें।",Previous Year - CG TET 2022 Paper 1
“क्रिया की सफलता से संतोष एवं असफलता से असंतोष होता है।” यह थॉर्नडाइक के किस नियम को बतलाता है?,अभ्यास का नियम,प्रभाव का नियम,तत्परता का नियम,उपर्युक्त सभी,B,"सही उत्तर (B) प्रभाव का नियम (Law of Effect) है—सुखद परिणाम बंधन मजबूत, दुखद कमजोर। (A) अभ्यास: उपयोग-अनुपयोग से संबंध दृढ़/शिथिल। (C) तत्परता: तैयारी हो तो सीखना सुखद। (D) तीनों नियम अलग हैं, यह परिभाषा केवल प्रभाव की है। स्किनर का पुनर्बलन इसी नियम का विस्तार है।",Previous Year - CG TET 2022 Paper 2
जीन पियाजे का सिद्धांत मुख्यतः संबंधित है,प्रयास एवं त्रुटि से,संज्ञानात्मक विकास से,क्रियाप्रसूत अनुबंधन से,शास्त्रीय अनुबंधन से,B,"पियाजे बच्चे की सोच की संरचना व अवस्थाएँ बताते हैं। क्रियाप्रसूत स्किनर, शास्त्रीय पावलॉव, प्रयास-त्रुटि थॉर्नडाइक हैं। नाम-सिद्धांत मिलान TET का सबसे सरल पर बार-बार आने वाला प्रश्न है।",Expected - CG TET | CDP - अधिगम व संज्ञानात्मक विकास - पियाजे क्षेत्र
वस्तु-स्थायित्व (Object permanence) किस अवस्था की प्रमुख उपलब्धि है?,औपचारिक संक्रिया अवस्था,केवल प्रौढ़ावस्था,संवेदी-क्रियात्मक अवस्था,कोहलबर्ग का उत्तर-पारंपरिक स्तर,C,"0-2 वर्ष: वस्तु दृष्टि से ओझल हो तो भी अस्तित्व समझना। औपचारिक अमूर्त तर्क है। प्रौढ़ावस्था इस मील का पत्थर नहीं। कोहलबर्ग नैतिक स्तर है, वस्तु-स्थायित्व नहीं। छिपी वस्तु ढूँढना इसी का संकेत है।",Expected - CG TET | CDP - अधिगम व संज्ञानात्मक विकास - वस्तु-स्थायित्व
सजीववाद (Animism) पूर्व-संक्रियात्मक अवस्था में दर्शाता है कि बच्चा,संरक्षण का पूर्ण उपयोग करता है,निर्जीव वस्तुओं को सजीव/इच्छावान मानता है,ZPD में स्केफोल्डिंग देता है,परिकल्पना से प्रयोग रचता है,B,"सूरज चलता है क्योंकि वह चाहता है—आत्मकेन्द्रित जादुई सोच। संरक्षण मूर्त संक्रिया। परिकल्पना औपचारिक। स्केफोल्डिंग वायगोत्सकी। पियाजे की पूर्व-संक्रिया: अहंकेन्द्र, केन्द्रिता, सजीववाद, अपरिवर्तनीयता।",Expected - CG TET | CDP - अधिगम व संज्ञानात्मक विकास - सजीववाद
संरक्षण (Conservation) की समझ सामान्यतः आती है,मूर्त संक्रियात्मक अवस्था में,थॉर्नडाइक के प्रभाव नियम से स्वतः,संवेदी-क्रिया के प्रथम माह में,केवल पावलॉव के कुत्ते में,A,"7-11 वर्ष: मात्रा/संख्या/आयतन रूप बदलने पर भी वही। शैशव में नहीं। पावलॉव/थॉर्नडाइक अधिगम नियम हैं, संरक्षण संज्ञानात्मक संरचना है। पानी गिलास में डालकर धोखा पूर्व-संक्रिया की केन्द्रिता दिखाता है।",Expected - CG TET | CDP - अधिगम व संज्ञानात्मक विकास - संरक्षण
औपचारिक संक्रियात्मक अवस्था की विशेषता है,केवल शास्त्रीय लार,काल्पनिक-निगमनात्मक तर्क तथा अमूर्त चिंतन,केवल केन्द्रिता,केवल वस्तु-स्थायित्व,B,"11+ वर्ष: ‘यदि-तो’, वैज्ञानिक सोच। वस्तु-स्थायित्व शैशव। केन्द्रिता पूर्व-संक्रिया। लार पावलॉव। किशोर नैतिक/विज्ञान प्रश्न इसी क्षमता पर टिकते हैं।",Expected - CG TET | CDP - अधिगम व संज्ञानात्मक विकास - औपचारिक संक्रिया
पियाजे के अनुसार स्कीमा है,केवल दंड का दूसरा नाम,केवल ZPD का मापन-यंत्र,कोहलबर्ग का छठा चरण,ज्ञान को संगठित करने वाला मानसिक ढाँचा,D,"स्कीमा: चूसना, वर्गीकरण आदि मानसिक संरचनाएँ; आत्मसातन-समंजन इन्हें चलाते हैं। दंड स्किनर। ZPD वायगोत्सकी। कोहलबर्ग चरण नैतिक हैं। बिना स्कीमा के संज्ञानात्मक विकास समझ नहीं आता।",Expected - CG TET | CDP - अधिगम व संज्ञानात्मक विकास - स्कीमा
पियाजे बच्चे को मानते हैं,निष्क्रिय उद्दीपन-प्राप्तकर्ता,खाली स्लेट जिस पर केवल पुनर्बलन लिखता है,केवल अनुकरण करने वाली मशीन,सक्रिय ज्ञान-निर्माता (रचनाकार),D,"रचनावाद: बच्चा अन्वेषण से ज्ञान गढ़ता है। खाली स्लेट/केवल पुनर्बलन व्यवहारवाद (स्किनर)। केवल अनुकरण बंडुरा के निकट, पियाजे नहीं। कक्षा: क्रिया, वस्तु, खोज—व्याख्यान मात्र नहीं।",Expected - CG TET | CDP - अधिगम व संज्ञानात्मक विकास - पियाजे रचनावाद
क्रमबद्धता (Seriation) का अर्थ है,केवल दंड देना,निजी वाणी को विकार मानना,केवल लार स्रावित करना,वस्तुओं को आकार/मात्रा के क्रम में लगाना,D,"मूर्त संक्रिया: छड़ें छोटी-से-बड़ी। लार पावलॉव, दंड स्किनर, निजी वाणी वायगोत्सकी। 2022 सकर्मक विचार (A>B>C) इसी तार्किक परिवार का है।",Expected - CG TET | CDP - अधिगम व संज्ञानात्मक विकास - क्रमबद्धता
पियाजे के अनुसार अधिगम और विकास का संबंध है,"अधिगम हमेशा विकास को जन्म देता है, अवस्था व्यर्थ है",भाषा विकास का एकमात्र इंजन है,केवल पुनर्बलन से अवस्थाएँ कूद जाती हैं,विकास अधिगम से पहले आता है; शिक्षण अवस्था के अनुकूल हो,D,"पियाजे: परिपक्व संज्ञानात्मक संरचना के बाद सीखना फूलता है। वायगोत्सकी उल्टा कहते हैं—सीखना विकास खींचता है। पुनर्बलन अवस्था नहीं बदलता। भाषा वायगोत्सकी का केंद्र है, पियाजे का एकमात्र इंजन नहीं। प्रश्न ‘पियाजे के अनुसार’ पढ़ें।",Expected - CG TET | CDP - अधिगम व संज्ञानात्मक विकास - पियाजे अधिगम-विकास
वायगोत्सकी का सिद्धांत कहलाता है,सामाजिक-सांस्कृतिक सिद्धांत,शास्त्रीय अनुबंधन सिद्धांत,नैतिक द्वि-स्तर केवल दंड सिद्धांत,प्रयास-त्रुटि सिद्धांत,A,"ज्ञान सामाजिक अंतःक्रिया व संस्कृति से आता है। शास्त्रीय पावलॉव, प्रयास-त्रुटि थॉर्नडाइक, दंड-नैतिक कोहलबर्ग चरण-1। वायगोत्सकी ≠ पियाजे का अकेला बच्चा; साथी-शिक्षक-भाषा केंद्र में हैं।",Expected - CG TET | CDP - अधिगम व संज्ञानात्मक विकास - वायगोत्सकी नाम
समीपस्थ विकास का क्षेत्र (ZPD) है,"वह अंतर जिसे बच्चा अकेले नहीं, सहायता से कर सकता है",वह कार्य जो विशेषज्ञ भी नहीं कर सकता,वह कार्य जो बच्चा बिना किसी मदद के पहले से पूर्ण कर चुका है,केवल दंड से सीखा गया व्यवहार,A,"ZPD: स्वतंत्र स्तर और संभावित स्तर के बीच। पहले से पूर्ण कार्य ZPD नीचे। असंभव कार्य ऊपर। दंड स्किनर। शिक्षण ZPD में स्केफोल्डिंग से होता है, बहुत सरल/बहुत कठिन सामग्री से नहीं।",Expected - CG TET | CDP - अधिगम व संज्ञानात्मक विकास - ZPD
More Knowledgeable Other (MKO) हो सकता है,केवल थॉर्नडाइक का पजल बॉक्स,केवल पावलॉव का मेट्रोनोम,"शिक्षक, अभिभावक या अधिक निपुण साथी",केवल स्किनर बॉक्स का लीवर,C,"MKO कोई भी अधिक जानकार व्यक्ति/साधन। मेट्रोनोम/पजल/लीवर व्यवहारवादी उपकरण हैं, सामाजिक मार्गदर्शक नहीं। स्केफोल्डिंग MKO से आती है।",Expected - CG TET | CDP - अधिगम व संज्ञानात्मक विकास - MKO
वायगोत्सकी के अनुसार अधिगम और विकास,विकास पूर्ण होने तक शिक्षण वर्जित है,केवल शास्त्रीय अनुबंधन से नैतिकता आती है,भाषा सोच से पूरी तरह अलग रहती है,सामाजिक अधिगम विकास को आगे खींच सकता है,D,"सीखना ZPD में विकास से आगे बढ़ सकता है। ‘पहले पूर्ण विकास’ पियाजे-अतिरेक। वायगोत्सकी: भाषा सोच का औजार। नैतिकता कोहलबर्ग/पियाजे, पावलॉव नहीं। सहयोगी अधिगम का सैद्धांतिक आधार यही है।",Expected - CG TET | CDP - अधिगम व संज्ञानात्मक विकास - वायगोत्सकी अधिगम-विकास
वायगोत्सकी भाषा को मानते हैं,केवल केन्द्रिता का कारण,चिंतन का सामाजिक औजार,नैतिक चरण-4 का कानून,केवल लार स्राव का उद्दीपन,B,"बाह्य संवाद → निजी वाणी → आंतरिक वाणी = विचार। केन्द्रिता पियाजे दोष। लार पावलॉव। कानून कोहलबर्ग। प्राथमिक कक्षा में बातचीत, समूह-कार्य भाषा द्वारा सोच बढ़ाने के लिए हैं।",Expected - CG TET | CDP - अधिगम व संज्ञानात्मक विकास - भाषा औजार
आंतरिक वाणी (Inner speech) का विकास होता है,जन्म से पूर्ण रूप में,केवल औपचारिक संक्रिया के बाद अनिवार्य मौन से,केवल दंड के बाद,सामाजिक वाणी से निजी वाणी होते हुए,D,क्रम: सामाजिक → निजी (स्वयं से बात) → आंतरिक। जन्म से पूर्ण नहीं। दंड आवश्यक नहीं। मौन पियाजे अवस्था से बाध्य नहीं। 2022 मनीषा वाला PYQ इसी श्रृंखला का मध्य बिंदु है।,Expected - CG TET | CDP - अधिगम व संज्ञानात्मक विकास - आंतरिक वाणी
कोहलबर्ग के नैतिक विकास में स्तरों की संख्या है,बारह अनिवार्य स्तर,तीन स्तर (प्रत्येक में दो चरण),पियाजे की चार संज्ञानात्मक अवस्थाएँ ही नैतिक स्तर हैं,केवल एक स्तर—दंड,B,"Preconventional, Conventional, Postconventional—कुल 6 चरण। पियाजे की 4 अवस्थाएँ संज्ञान हैं, यद्यपि नैतिकता पर पियाजे का अलग द्वि-चरण है। केवल दंड एक चरण है, पूरा सिद्धांत नहीं। 12 स्तर नहीं।",Expected - CG TET | CDP - अधिगम व संज्ञानात्मक विकास - कोहलबर्ग स्तर
पूर्व-पारंपरिक नैतिकता का आधार है,केवल अच्छा लड़का बनने की इच्छा,बाह्य दंड और व्यक्तिगत लाभ,केवल सामाजिक व्यवस्था बनाए रखना,सार्वभौमिक मानवाधिकार सिद्धांत,B,"चरण 1-2: सजा/इनाम, स्वार्थ। अधिकार उत्तर-पारंपरिक। कानून-व्यवस्था चरण 4। अच्छा लड़का चरण 3 पारंपरिक। छोटे बच्चों का ‘पकड़ लेंगे’ 2016 PYQ यही है।",Expected - CG TET | CDP - अधिगम व संज्ञानात्मक विकास - पूर्व-पारंपरिक
उत्तर-पारंपरिक स्तर पर व्यक्ति नैतिक निर्णय लेता है,केवल पकड़े जाने के डर से,केवल मिठाई पाने के लिए,केवल भीड़ की तालियाँ पाने के लिए,सार्वभौमिक नैतिक सिद्धांतों और अंतरात्मा के आधार पर,D,"चरण 5-6: सामाजिक अनुबंध, न्याय। डर/मिठाई पूर्व-पारंपरिक। तालियाँ पारंपरिक। अधिकांश वयस्क यहीं पूर्ण नहीं पहुँचते—TET यह भी पूछ सकता है कि यह दुर्लभ स्तर है।",Expected - CG TET | CDP - अधिगम व संज्ञानात्मक विकास - उत्तर-पारंपरिक
“कानून का पालन इसलिए क्योंकि समाज टूट जाएगा” — कोहलबर्ग का चरण है,सार्वभौमिक नैतिक सिद्धांत (चरण-6),सजा-आज्ञाकारिता (चरण-1),यांत्रिक लेन-देन (चरण-2),कानून एवं व्यवस्था (चरण-4),D,चरण-4 पारंपरिक: नियम स्वयं मूल्य। चरण-1 व्यक्तिगत दंड। चरण-2 सौदा। चरण-6 कानून से ऊपर न्याय (हेन्ज द्वंद्व में दवा चोरी न्याय हेतु)। सामाजिक व्यवस्था बनाम दंड का फर्क पहचानें।,Expected - CG TET | CDP - अधिगम व संज्ञानात्मक विकास - चरण-4
हेन्ज द्वंद्व (Heinz dilemma) का उपयोग किया गया,पावलॉव द्वारा लार मापने हेतु,स्किनर द्वारा लीवर दबाने हेतु,थॉर्नडाइक द्वारा बिल्ली का समय मापने हेतु,कोहलबर्ग द्वारा नैतिक तर्क के चरण जानने हेतु,D,"बीमार पत्नी के लिए दवा—कारण पूछकर स्तर तय। लार/बिल्ली/लीवर व्यवहारवादी प्रयोग हैं, नैतिक तर्क नहीं। TET कहानी+कारण से चरण पूछता है।",Expected - CG TET | CDP - अधिगम व संज्ञानात्मक विकास - हेन्ज द्वंद्व
पियाजे की पराधीन (Heteronomous) नैतिकता में बच्चा मानता है,नैतिकता केवल पुनर्बलन अनुसूची है,नियम सहयोग से बदल सकते हैं,नियम वयस्कों द्वारा बने हैं और अपरिवर्तनीय हैं,केवल सार्वभौमिक न्याय सत्य है,C,"लगभग 4-7 वर्ष (2017 PYQ आयु): वस्तुनिष्ठ जिम्मेदारी, इरादे से अधिक नुकसान। स्वायत्त नैतिकता में नियम बदल सकते हैं। सार्वभौमिक न्याय कोहलबर्ग-6। पुनर्बलन स्किनर। पियाजे नैतिकता संज्ञान से जुड़ी है।",Expected - CG TET | CDP - अधिगम व संज्ञानात्मक विकास - पराधीन नैतिकता
पावलॉव का शास्त्रीय अनुबंधन बताता है,ZPD में साथी सहायता,तटस्थ उद्दीपन बार-बार अस्वाभाविक उद्दीपन के साथ जुड़कर अनुक्रिया जगाता है,अमूर्त परिकल्पना परीक्षण,पहले स्वैच्छिक क्रिया फिर पुरस्कार,B,CS + UCS → CR। स्वैच्छिक+पुरस्कार स्किनर। ZPD वायगोत्सकी। परिकल्पना पियाजे औपचारिक। कुत्ता-घंटी TET का शास्त्रीय चित्र है।,Expected - CG TET | CDP - अधिगम व संज्ञानात्मक विकास - शास्त्रीय अनुबंधन
पावलॉव के प्रयोग में भोजन है,अस्वाभाविक उद्दीपन (UCS),अनुबंधित उद्दीपन (CS),केवल दंड,ZPD,A,भोजन प्राकृतिक रूप से लार (UCR) लाता है = UCS। घंटी CS बनती है। दंड ऑपरेंट। ZPD सामाजिक। 2017 अस्पताल=CS वाले प्रश्न की कुंजी यही मैपिंग है।,Expected - CG TET | CDP - अधिगम व संज्ञानात्मक विकास - UCS
उद्दीपन सामान्यीकरण (Stimulus generalization) का अर्थ है,ZPD का विस्तार,समान उद्दीपनों पर भी वही अनुबंधित अनुक्रिया होना,नैतिक चरण-6,संरक्षण सीखना,B,घंटी जैसी आवाज़ पर भी लार। ZPD/संरक्षण/चरण-6 अन्य सिद्धांत। कक्षा: एक संदर्भ का भय दूसरे समान संदर्भ तक फैल सकता है।,Expected - CG TET | CDP - अधिगम व संज्ञानात्मक विकास - सामान्यीकरण
विलोपन (Extinction) शास्त्रीय अनुबंधन में तब होता है जब,CS बार-बार बिना UCS के दिया जाए,केवल स्केफोल्डिंग बढ़ा दी जाए,केवल कोहलबर्ग चरण बदल जाए,UCS हर बार बढ़ा दिया जाए,A,घंटी बिना भोजन → लार बंद। UCS बढ़ाने से अनुबंध मजबूत। स्केफोल्डिंग/कोहलबर्ग unrelated। 2017 फ्रिज-कुत्ता PYQ इसी नियम पर था।,Expected - CG TET | CDP - अधिगम व संज्ञानात्मक विकास - विलोपन
सकारात्मक पुनर्बलन का अर्थ है,अनुक्रिया के बाद सुखद उद्दीपन देकर व्यवहार की दर बढ़ाना,व्यवहार के बाद दुखद उद्दीपन देकर दर घटाना,केवल निजी वाणी रोकना,केवल पियाजे स्कीमा बदलना,A,"Skinner +: तारीफ/अंक → व्यवहार बढ़े। दुखद देकर घटाना दंड है। स्कीमा/वाणी अलग सिद्धांत। नकारात्मक पुनर्बलन = दुखद हटाना, दंड नहीं—TET का जाल।",Expected - CG TET | CDP - अधिगम व संज्ञानात्मक विकास - सकारात्मक पुनर्बलन
नकारात्मक पुनर्बलन है,हमेशा दंड का पर्याय,कोहलबर्ग का पारंपरिक स्तर,अप्रिय उद्दीपन हटाकर व्यवहार को बढ़ाना,व्यवहार की दर अवश्य घटाना,C,"सीट बेल्ट से आवाज़ बंद—व्यवहार बढ़ता है, यह दंड नहीं। दंड दर घटाता है। कोहलबर्ग नैतिक स्तर है। ‘नेगेटिव’ = हटाना, ‘बुरा’ नहीं।",Expected - CG TET | CDP - अधिगम व संज्ञानात्मक विकास - नकारात्मक पुनर्बलन
