question,option_a,option_b,option_c,option_d,correct_answer,explanation,remark
"यह कहा जाता है कि, “विकास एक कभी न समाप्त होने वाली प्रक्रिया है”, इसे निम्नलिखित में से किसके द्वारा परिभाषित किया जाता है?",अंतःक्रिया का सिद्धांत,निरंतरता का सिद्धांत,अंतर्संबंध का सिद्धांत,एकीकरण का सिद्धांत,B,"सही उत्तर (B) है क्योंकि निरंतरता का सिद्धांत कहता है कि विकास रुकता नहीं—गर्भावस्था से लेकर वृद्धावस्था तक परिवर्तन चलते रहते हैं, गति कभी तीव्र कभी मंद हो सकती है। (A) अंतःक्रिया वंशानुक्रम-वातावरण की परस्पर क्रिया बताता है, ‘कभी न समाप्त’ नहीं। (C) अंतर्संबंध शारीरिक-मानसिक-सामाजिक आयामों के जुड़ाव को कहता है। (D) एकीकरण अंगों/क्षमताओं के समन्वय को दर्शाता है। CG TET में चारों सिद्धांत अलग-अलग पूछे जाते हैं, परिभाषा मिलाएँ नहीं।",Previous Year - CG TET 2022 Paper 1
विकास का अर्थ है,परिवर्तनों की प्रगतिशील श्रृंखला।,अभिप्रेरणा के परिणामस्वरूप परिवर्तनों की प्रगतिशील श्रृंखला।,अभिप्रेरणा और अनुभव के परिणामस्वरूप परिवर्तनों की प्रगतिशील श्रृंखला।,परिपक्वता और अनुभव के परिणामस्वरूप परिवर्तनों की श्रृंखला।,D,"सही उत्तर (D) है। हरलॉक के अनुसार विकास परिपक्वता (आंतरिक जैविक तैयारी) और अनुभव (सीखना/वातावरण) के फलस्वरूप होने वाले क्रमबद्ध परिवर्तन हैं। CG TET इसी परिभाषा को मानक मानता है। (A) अधूरा है—कोई भी परिवर्तन विकास नहीं कहलाता, प्रगति व अनुकूलन वाले परिवर्तन ही विकास हैं और कारण भी बताना आवश्यक है। (B) व (C) ‘अभिप्रेरणा’ जोड़कर भ्रम पैदा करते हैं; अभिप्रेरणा अधिगम का कारक हो सकती है, विकास की मूल परिभाषा में परिपक्वता+अनुभव हैं, प्रेरणा नहीं।",Previous Year - CG TET 2022 Paper 1
निम्नलिखित में से कौनसा बौद्धिक विकास का तत्व नहीं है?,सृजनात्मकता,चिंतन,सहनशीलता,कल्पनाशीलता,C,"सही उत्तर (C) है क्योंकि सहनशीलता मुख्यतः व्यक्तित्व/संवेगात्मक-सामाजिक गुण है, बौद्धिक विकास का मूल तत्व नहीं। बौद्धिक (मानसिक) विकास में चिंतन, कल्पना, सृजन, स्मृति, तर्क व समस्या-समाधान आते हैं। (A) सृजनात्मकता नई कल्पनाओं को रूप देने की मानसिक क्षमता है। (B) चिंतन बुद्धि का केंद्र है। (D) कल्पनाशीलता मानसिक प्रतिमाएँ बनाने की क्षमता है। अतः परीक्षा में आयामों को मिलाएँ नहीं—सहनशीलता संवेग/चरित्र पक्ष है।",Previous Year - CG TET 2022 Paper 1
"2-8 वर्ष की आयु के बच्चों के लिए, विकास के पैटर्न में मोटर, सामाजिक, भावनात्मक, संवेगात्मक के साथ शामिल हैं",अनुकूलन क्षमता या कौशल,संप्रेषण क्षमता या कौशल,भाषायी क्षमता या कौशल,लेखन क्षमता या कौशल,C,"सही उत्तर (C) है क्योंकि पूर्व व प्रारंभिक बाल्यावस्था (लगभग 2-8 वर्ष) में क्रियात्मक, सामाजिक, संवेगात्मक विकास के साथ भाषा का विस्फोट होता है—शब्द-भंडार, वाक्य व अर्थ ग्रहण तेजी से बढ़ते हैं। (A) अनुकूलन सामान्य जीवन-कौशल है, इस आयु-पैटर्न का विशिष्ट आयाम नहीं। (B) संप्रेषण भाषा का भाग हो सकता है, पर प्रश्न में मानक आयाम ‘भाषायी क्षमता’ है। (D) लेखन औपचारिक विद्यालयी कौशल है, सभी 2-8 वर्ष के बच्चों के स्वाभाविक विकास-पैटर्न का अनिवार्य अंग नहीं।",Previous Year - CG TET 2022 Paper 1
"बच्चा भौतिक और सामाजिक वास्तविकता की अवधारणाओं का निर्माण करना प्रारम्भ कर देता है, यह विशेषता है",शारीरिक विकास,बौद्धिक विकास,संवेगात्मक विकास,सामाजिक विकास,B,"सही उत्तर (B) है क्योंकि अवधारणा-निर्माण, वस्तु-स्थायित्व, वर्गीकरण व वास्तविकता का मानसिक चित्र बौद्धिक/संज्ञानात्मक विकास है। बच्चा दुनिया को ‘समझकर’ अर्थ देता है। (A) शारीरिक विकास ऊँचाई, मांसपेशी व इंद्रिय-नियंत्रण है, अवधारणा नहीं। (C) संवेगात्मक विकास भावों की अभिव्यक्ति व नियंत्रण है। (D) सामाजिक विकास दूसरों के साथ संबंध/भूमिकाएँ हैं; यद्यपि सामाजिक वास्तविकता का अनुभव सामाजिक परिवेश से आता है, ‘अवधारणा का निर्माण’ मानसिक प्रक्रिया है, इसलिए बौद्धिक आयाम सही है।",Previous Year - CG TET 2022 Paper 1
विकास की किस अवधि को ‘अत्यधिक दबाव और तनाव’ का काल कहा जाता है?,किशोरावस्था,बाल्यावस्था,वयस्कावस्था,शैशवावस्था,A,"सही उत्तर (A) है। स्टैनली हॉल के अनुसार किशोरावस्था Storm and Stress का काल है—शरीर में तीव्र परिवर्तन, पहचान की खोज, साथी प्रभाव व संवेगात्मक उतार-चढ़ाव दबाव उत्पन्न करते हैं। CG TET में यही मानक उत्तर है। (B) बाल्यावस्था अपेक्षाकृत स्थिर, खेल व विद्यालय-समायोजन का काल है। (C) वयस्कावस्था में उत्तरदायित्व होते हैं, पर ‘तूफान-तनाव’ पद किशोरावस्था के लिए प्रयुक्त होता है। (D) शैशवावस्था निर्भरता व तीव्र वृद्धि का काल है, पहचान-संकट का नहीं।",Previous Year - CG TET 2022 Paper 1
वृद्धि (Growth) और विकास (Development) में मुख्य अंतर है कि,वृद्धि और विकास दोनों केवल गुणात्मक प्रक्रियाएँ हैं,वृद्धि परिमाणात्मक होती है जबकि विकास परिमाणात्मक एवं गुणात्मक दोनों होता है,वृद्धि जीवनभर चलती है जबकि विकास परिपक्वता पर रुक जाता है,वृद्धि गुणात्मक होती है जबकि विकास केवल परिमाणात्मक होता है,B,"सही विकल्प यह है कि वृद्धि मापनीय है (ऊँचाई, वजन, आकार) अतः परिमाणात्मक; विकास संरचना, कार्य व व्यवहार में गुणात्मक सुधार भी लाता है। CG TET में यही मूल भेद बार-बार आता है। ‘वृद्धि गुणात्मक’ कहना उल्टा है। दोनों को केवल गुणात्मक मानना वृद्धि के मापनीय पक्ष को नकारता है। अंतिम विकल्प दिशा उलटी बताता है—वास्तव में वृद्धि प्रायः परिपक्वता के बाद रुकती/बहुत मंद होती है, विकास जीवनभर चलता रहता है।",Expected - CG TET | CDP - बाल विकास की अवस्थाएँ - वृद्धि बनाम विकास
निम्नलिखित में से कौन-सा कथन वृद्धि के संबंध में सही है?,यह एक निश्चित आयु तक चलने वाली शारीरिक प्रक्रिया है,यह सामाजिक मूल्यों के अर्जन का दूसरा नाम है,यह केवल मानसिक परिवर्तनों को दर्शाती है,यह जन्म से मृत्यु तक समान गति से चलती रहती है,A,"सही कथन: वृद्धि मुख्यतः शारीरिक है और सामान्यतः परिपक्वता के आसपास इसकी तीव्रता घट कर लगभग रुक जाती है। यह जन्म-मृत्यु तक समान गति से नहीं चलती—शैशवावस्था व किशोरावस्था में तीव्र, बाल्यावस्था में अपेक्षाकृत मंद। मानसिक परिवर्तन विकास के मानसिक आयाम हैं, वृद्धि नहीं। सामाजिक मूल्यों का अर्जन सामाजिक विकास है। शिक्षक को मापनीय शरीर-परिवर्तन और व्यापक व्यक्तित्व-परिवर्तन अलग रखना चाहिए।",Expected - CG TET | CDP - बाल विकास की अवस्थाएँ - वृद्धि की प्रकृति
“विकास जीवनभर चलने वाली प्रक्रिया है” — इस कथन से तात्पर्य है कि,विकास केवल विद्यालयी वर्षों तक सीमित होता है,मनुष्य की ऊँचाई मृत्यु तक बढ़ती रहती है,केवल किशोरावस्था के बाद ही विकास आरंभ होता है,"शारीरिक वृद्धि रुकने के बाद भी व्यवहार, अनुभव और समायोजन में परिवर्तन होते रहते हैं",D,"CG TET में निरंतरता का अर्थ है: वृद्धि सीमित हो सकती है, पर विकास (सीखना, संवेग, सामाजिक भूमिका, बुद्धि का उपयोग) जीवनभर चलता है। ऊँचाई मृत्यु तक नहीं बढ़ती। विकास गर्भावस्था/जन्म से शुरू होता है, किशोरावस्था से नहीं। इसे केवल स्कूल वर्षों तक सीमित करना सिद्धांतों के विरुद्ध है। गलत विकल्प वृद्धि को विकास मान बैठते हैं।",Expected - CG TET | CDP - बाल विकास की अवस्थाएँ - निरंतरता
निकट-दूर का नियम (Proximodistal) शारीरिक विकास की किस दिशा को बताता है?,पैरों से सिर की ओर,विशिष्ट क्रिया से सामान्य क्रिया की ओर,सिर से पैरों की ओर,शरीर के केंद्र से परिधि की ओर,D,"Proximodistal का अर्थ है विकास धड़/मेरुदंड (केंद्र) से हाथ, फिर अंगुलियों (परिधि) की ओर। शिशु पहले बाँह हिलाता है, बाद में उंगली से वस्तु पकड़ता है। सिर-से-पैर मस्तकाधोमुखी नियम है। पैर-से-सिर उल्टी दिशा है। विकास सामान्य (पूरी बाँह) से विशिष्ट (अंगूठा-तर्जनी) की ओर जाता है, उल्टा नहीं। दोनों नियम क्रियात्मक अवस्थाओं के प्रश्न में साथ आते हैं।",Expected - CG TET | CDP - बाल विकास की अवस्थाएँ - निकट-दूर नियम
विकास सामान्य से विशिष्ट की ओर बढ़ता है। इसका उपयुक्त उदाहरण है,"किशोर पहले अमूर्त चिंतन करता है, बाद में इंद्रिय अनुभव करता है","बच्चा पहले लिखना सीखता है, बाद में चित्र बनाना","शिशु पहले पूरे हाथ से वस्तु पकड़ता है, बाद में अंगूठे और तर्जनी से","शिशु पहले चलता है, बाद में सिर उठाता है",C,"सामान्य-से-विशिष्ट सिद्धांत: आरंभ में पूरी देह/पूरा हाथ चलता है, बाद में सूक्ष्म नियंत्रण आता है—पिंसर ग्रिप इसका मानक उदाहरण है। पहले चलना बाद में सिर उठाना मस्तकाधोमुखी के विरुद्ध है। अमूर्त चिंतन बाद की अवस्था है, पहले संवेदी अनुभव आता है। लिखना चित्र से अधिक विशिष्ट/बाद का कौशल है, इसलिए क्रम उल्टा है।",Expected - CG TET | CDP - बाल विकास की अवस्थाएँ - सामान्य से विशिष्ट
"मानव विकास की वह अवस्था जो गर्भाधान से जन्म तक चलती है, कहलाती है",नवजात अवस्था,पूर्व बाल्यावस्था,जन्मपूर्व अवस्था,शैशवावस्था,C,"जन्मपूर्व (Prenatal) अवस्था गर्भाधान से जन्म तक है—इसमें germinal, embryonic व fetal चरण आते हैं। नवजात (neonatal) जन्म के बाद प्रथम ~4 सप्ताह है। शैशवावस्था सामान्यतः जन्म से 2 वर्ष। पूर्व बाल्यावस्था लगभग 2-6 वर्ष। CG TET इकाई-1 में ये चरण क्रम से याद रखना अनिवार्य है।",Expected - CG TET | CDP - बाल विकास की अवस्थाएँ - जन्मपूर्व अवस्था
शैशवावस्था की सामान्य आयु सीमा मानी जाती है,6 वर्ष से 12 वर्ष तक,12 वर्ष से 18 वर्ष तक,2 वर्ष से 6 वर्ष तक,जन्म से 2 वर्ष तक,D,"भारतीय TET पाठ्यक्रम में शैशवावस्था प्रायः 0-2 वर्ष है—पूर्ण निर्भरता, तीव्र शारीरिक-मानसिक वृद्धि, इंद्रिय-क्रियात्मक सीखना। 2-6 पूर्व बाल्यावस्था, 6-12 उत्तर बाल्यावस्था, 12-18 किशोरावस्था है। आयु-सीमा vertaकर विकल्प बनते हैं; परिभाषा के साथ उदाहरण जोड़कर याद करें।",Expected - CG TET | CDP - बाल विकास की अवस्थाएँ - शैशवावस्था
पूर्व बाल्यावस्था (Early childhood) की प्रमुख आयु सीमा है,2 से 6 वर्ष,13 से 19 वर्ष,6 से 12 वर्ष,जन्म से 1 वर्ष,A,"पूर्व बाल्यावस्था खिलौना/प्रश्नकाल है—भाषा, कल्पना, समांतर खेल, आत्मकेन्द्रित सोच का आरंभिक रूप। जन्म-1 वर्ष शैशवावस्था का भाग। 6-12 उत्तर बाल्यावस्था (गैंग एज)। 13-19 किशोरावस्था। शिक्षक को प्राथमिक कक्षाएँ मुख्यतः उत्तर बाल्यावस्था व पूर्व बाल्यावस्था के अंत से जोड़कर देखना चाहिए।",Expected - CG TET | CDP - बाल विकास की अवस्थाएँ - पूर्व बाल्यावस्था
उत्तर बाल्यावस्था को प्रायः कहा जाता है,दले का युग (Gang age),प्रजनन परिपक्वता का काल,पूर्ण निर्भरता का काल,तूफान और तनाव का काल,A,"उत्तर बाल्यावस्था (लगभग 6-12) में साथी समूह अत्यंत प्रभावशाली होता है, इसलिए इसे Gang age कहते हैं—सहयोगी खेल, नियम, विद्यालय। तूफान-तनाव किशोरावस्था है। पूर्ण निर्भरता शैशवावस्था है। प्रजनन परिपक्वता किशोरावस्था की यौन परिपक्वता है। सामाजिक विकास के प्रश्न में यह अंतर बार-बार आता है।",Expected - CG TET | CDP - बाल विकास की अवस्थाएँ - उत्तर बाल्यावस्था
किशोरावस्था की सामान्य आयु सीमा है,6 से 10 वर्ष,जन्म से 3 वर्ष,लगभग 12 से 18 वर्ष,2 से 5 वर्ष,C,"किशोरावस्था यौवनारंभ से वयस्कता के आरंभ तक—भारत में प्रायः 12-18 वर्ष। इसमें द्वितीयक यौन लक्षण, पहचान, साथी प्रभाव व संवेगात्मक परिवर्तन होते हैं। 6-10 उत्तर बाल्यावस्था, 2-5 पूर्व बाल्यावस्था, 0-3 शैशव/शिशु काल है। आयु याद रखना अवस्था-विशेषताओं से जोड़ने के लिए आवश्यक है।",Expected - CG TET | CDP - बाल विकास की अवस्थाएँ - किशोरावस्था आयु
निम्नलिखित में से कौन-सा स्थूल क्रियात्मक (Gross motor) विकास का उदाहरण है?,पेंसिल से छोटे अक्षर लिखना,"दौड़ना, कूदना और सीढ़ियाँ चढ़ना",कैंची से सूक्ष्म आकृति काटना,मोती पिरोना,B,"स्थूल क्रियात्मक कौशल बड़ी मांसपेशियों—टाँग, बाँह, धड़—से होते हैं: चलना, दौड़ना, कूदना। मोती पिरोना, सूक्ष्म लेखन व आकृति काटना सूक्ष्म क्रियात्मक (Fine motor) हैं, अंगुलियों-हाथ के समन्वय से। शारीरिक विकास के प्रश्न में gross/fine का यह भेद मानक है। गलत विकल्प fine motor को gross बताकर भ्रम देते हैं।",Expected - CG TET | CDP - बाल विकास की अवस्थाएँ - स्थूल क्रियात्मक विकास
सूक्ष्म क्रियात्मक (Fine motor) विकास सर्वाधिक संबंधित है,केवल शरीर के वजन से,केवल हृदय की गति से,केवल लंबी हड्डियों की वृद्धि से,हाथ और अंगुलियों के समन्वय से,D,"Fine motor = छोटी मांसपेशियाँ, दृष्टि-हाथ समन्वय—पकड़ना, लिखना, बटन लगाना। लंबी हड्डियाँ/वजन वृद्धि परिमाणात्मक शारीरिक वृद्धि है, कौशल नहीं। हृदय गति शारीरिक क्रिया है, क्रियात्मक कौशल नहीं। CG TET प्राथमिक शिक्षक से अपेक्षा है कि खेल व लेखन दोनों आयामों को पहचाने।",Expected - CG TET | CDP - बाल विकास की अवस्थाएँ - सूक्ष्म क्रियात्मक विकास
शिशु में सामाजिक मुस्कान सामान्यतः प्रकट होती है,लगभग 2-3 माह की आयु में,किशोरावस्था में पहली बार,केवल 5 वर्ष की आयु में,जन्म के ठीक दूसरे दिन अनिवार्य रूप से,A,"सामाजिक मुस्कान सामाजिक-संवेगात्मक विकास का प्रारंभिक चिह्न है—लगभग 6-12 सप्ताह में परिचित चेहरे पर मुस्कान। जन्म के दूसरे दिन की मुस्कान प्रायः प्रतिवर्त/आंतरिक अवस्था होती है, सामाजिक नहीं। 5 वर्ष/किशोरावस्था बहुत देर है; तब तक जटिल सामाजिक कौशल आ चुके होते हैं। यह मील का पत्थर शैशव के सामाजिक विकास में पूछा जाता है।",Expected - CG TET | CDP - बाल विकास की अवस्थाएँ - सामाजिक मुस्कान
अजनबी भय (Stranger anxiety) सामान्यतः किस अवस्था से जुड़ा है?,उत्तर बाल्यावस्था,किशोरावस्था,प्रौढ़ावस्था,शैशवावस्था के उत्तरार्ध (लगभग 6-8 माह),D,"लगभग 6-8 माह में लगाव (attachment) स्पष्ट होता है, अजनबी देखकर शिशु रोता/सिकुड़ता है—यह सामाजिक-संवेगात्मक परिपक्वता का संकेत है, विकृति नहीं। उत्तर बाल्यावस्था में बच्चा नए लोगों से अपेक्षाकृत सहज होता है। किशोरावस्था/प्रौढ़ावस्था में यह सामान्य विकासात्मक मील का पत्थर नहीं। शिक्षक को इसे सुरक्षा-लगाव से जोड़ना चाहिए, दंड से नहीं।",Expected - CG TET | CDP - बाल विकास की अवस्थाएँ - अजनबी भय
समांतर खेल (Parallel play) की विशेषता है,बच्चे नियम बनाकर टीम के रूप में खेलते हैं,"बच्चे एक-दूसरे के पास बैठकर अपने-अपने खेल खेलते हैं, पर सहयोग नहीं करते",किशोर संगठित प्रतियोगिता करते हैं,केवल एक बच्चा चुपचाप अकेला कल्पना करता है और साथी पास नहीं होते,B,"पार्टन के अनुसार पूर्व बाल्यावस्था में समांतर खेल: साथ-साथ, बिना साझा लक्ष्य के। सहयोगी/नियमबद्ध खेल उत्तर बाल्यावस्था में। पूर्ण एकाकी कल्पना solitary play है। किशोर प्रतियोगिता बाद की सामाजिक अवस्था है। सामाजिक विकास में खेल-प्रकार अवस्था पहचानने का साधन है।",Expected - CG TET | CDP - बाल विकास की अवस्थाएँ - समांतर खेल
सहयोगी खेल (Cooperative play) मुख्यतः किस अवस्था में दिखाई देता है?,गर्भावस्था,नवजात काल,उत्तर बाल्यावस्था,केवल प्रौढ़ावस्था,C,"उत्तर बाल्यावस्था में बच्चे भूमिका बाँटते, नियम मानते व समूह-लक्ष्य से खेलते हैं—यह सामाजिक विकास का परिपक्व रूप है। नवजात में खेल संभव नहीं। प्रौढ़ावस्था में खेल हो सकते हैं पर ‘मुख्यतः’ विकासात्मक चिह्न बाल्यावस्था का है। गर्भावस्था में व्यवहारिक खेल नहीं होता। शिक्षक समूह-गतिविधि इसी क्षमता पर आधारित करता है।",Expected - CG TET | CDP - बाल विकास की अवस्थाएँ - सहयोगी खेल
संवेगात्मक विकास से तात्पर्य है,केवल शब्दों का उच्चारण सीखना,केवल मित्रों की संख्या बढ़ाना,"संवेगों को पहचानना, व्यक्त करना और सामाजिक रूप से नियंत्रित करना",केवल ऊँचाई और वजन में वृद्धि,C,"संवेगात्मक आयाम: भय, क्रोध, प्रेम, ईर्ष्या आदि की उत्पत्ति, अभिव्यक्ति व नियंत्रण—ताकि समायोजन हो। ऊँचाई-वजन शारीरिक वृद्धि है। उच्चारण भाषायी/मानसिक पक्ष है। मित्र संख्या सामाजिक अवसर हो सकती है, पर संवेग-नियंत्रण नहीं। CG TET चार आयामों को परिभाषा से अलग पहचानने को कहता है।",Expected - CG TET | CDP - बाल विकास की अवस्थाएँ - संवेगात्मक विकास
