question,option_a,option_b,option_c,option_d,correct_answer,explanation,remark
"ऐनी सुलिवन, जिन्होंने हेलेन केलर के ट्यूटर के रूप में कार्य किया, किससे पीड़ित थीं?",हड्डी रोग विकलांगता,भाषायी दोष / मंदता,मानसिक मंदता,दृश्य हानि,D,"सही उत्तर (D) दृश्य हानि। ऐनी स्वयं दृष्टिबाधित थीं; हेलेन अंध-बधिर थीं। उदाहरण बताता है कि CWSN शिक्षित हो सकते हैं, क्षमता की उपेक्षा मत करो। (A)(B)(C) ऐतिहासिक तथ्य से मेल नहीं खाते। समावेश का प्रेरणा-प्रश्न CG TET शैली में आता है।",Previous Year - CG TET 2022 Paper 1
समावेशी कक्षा की विशेषता नहीं है-,वास्तविक तथा सतत आकलन की व्यवस्था,शिक्षक द्वारा आत्मीय एवं मित्रवत व्यवहार का प्रयोग,अलग सहायक सामग्री का प्रयोग अलग-अलग विषयों हेतु,समग्र विद्यार्थी एक ही ज्ञान क्षमता वाले,D,"सही उत्तर (D) है क्योंकि समावेश विविध क्षमता मानता है, एक समान क्षमता नहीं। (A) सतत आकलन व्यक्तिगत प्रगति देखता है। (B) सकारात्मक संबंध जरूरी। (C) विभेदीकृत सामग्री समावेश का औजार है। ‘सभी एक जैसे’ समावेश का निषेध है।",Previous Year - CG TET 2022 Paper 2
कालम–A एवं कालम–B से सही विकल्प का मिलान करें। (a) डिस्लेक्सिया (b) डिसग्राफिया (c) डिसकैलकुलिया (d) डिसरथ्रिया | (I) पढ़ने और भाषा की कठिनाई (II) अंकगणितीय कौशल में कठिनाई (III) लेखन कौशल में कठिनाई (IV) बोलने की क्षमता में कठिनाई,"a-I, b-II, c-III, d-IV","a-IV, b-III, c-II, d-I","a-I, b-III, c-II, d-IV","a-IV, b-II, c-III, d-I",C,"सही उत्तर (C): डिस्लेक्सिया=पठन/भाषा, डिसग्राफिया=लेखन, डिसकैलकुलिया=गणित, डिसरथ्रिया=वाक्-पेशीय समन्वय। (A) ग्राफिया को गणित से मिला देता है। (B)(D) पठन-वाक् उल्टे हैं। चारों पद मिलाकर याद करें; ADHD इनमें अलग ध्यान-अतिसक्रियता वर्ग है।",Previous Year - CG TET 2024 Paper 1
दृश्य-स्थानिक दुष्क्रिया एक ____ अपंगता है।,मानसिक,अधिगम,शारीरिक,सामाजिक,B,"सही उत्तर (B) अधिगम अक्षमता है—दिशा, आकृति, मानचित्र, स्थानिक संबंध समझने में कठिनाई; सामान्य बुद्धि संभव। (A) मानसिक मंदता/बौद्धिक अक्षमता अलग श्रेणी, IQ व अनुकूलन व्यवहार से जुड़ी। (C) शारीरिक गति-अंग। (D) सामाजिक कौशल मुख्यतः ASD/संवेगात्मक पक्ष। LD को ‘कम बुद्धि’ मत कहें।",Previous Year - CG TET 2016 Paper 1
समावेशी शिक्षा का सबसे उपयुक्त अर्थ है,सभी बच्चों को नियमित विद्यालय में आवश्यक सहायता के साथ साथ पढ़ाना,केवल विकलांग बच्चों के अलग विद्यालय खोलना,केवल प्रतिभाशाली बच्चों को मुख्यधारा में रखना,CWSN को घर पर ही सीमित रखना,A,Inclusive = विविधता स्वीकार + भागीदारी बढ़ा + बाधा घटा। अलग स्कूल/घर पृथक्करण है। केवल गिफ्टेड को रखना बाकी को बाहर करता है। UNESCO/RTE/NEP का यही संदेश है।,Expected - CG TET | CDP - CWSN व समावेशी शिक्षा - समावेश अर्थ
एकीकृत शिक्षा और समावेशी शिक्षा में मुख्य अंतर है,एकीकृत में बच्चा स्कूल के अनुरूप ढलता है; समावेशी में स्कूल बच्चे की आवश्यकता के अनुरूप बदलता है,एकीकृत शिक्षा में सहायता सामग्री वर्जित है,"दोनों पूर्णतः एक ही हैं, कोई अंतर नहीं",समावेशी शिक्षा विशेष स्कूलों तक सीमित है,A,"Integration: बच्चे को ‘फिट’ होना पड़ता है। Inclusion: पाठ्यचर्या, भवन, विधि सब अनुकूलित। एक नहीं। समावेश विशेष स्कूल तक सीमित नहीं। एकीकृत में भी कुछ सहायता हो सकती है, अंतर दर्शन का है।",Expected - CG TET | CDP - CWSN व समावेशी शिक्षा - एकीकृत vs समावेशी
CWSN (Children with Special Needs) से तात्पर्य है,केवल उच्च आय वर्ग के बच्चे,केवल खेल में कमजोर बच्चे,केवल अनुशासनहीन बच्चे,वे बच्चे जिन्हें सामान्य शिक्षण से इतर अतिरिक्त/अनुकूलित सहायता चाहिए,D,"CWSN: अक्षमता, अधिगम कठिनाई, दीर्घ रोग, प्रतिभा आदि। अनुशासन समस्या मात्र CWSN नहीं। आय वर्ग कसौटी नहीं। खेल कमजोरी स्वतः विशेष आवश्यकता नहीं। परिभाषा शैक्षिक आवश्यकता से है, कलंक से नहीं।",Expected - CG TET | CDP - CWSN व समावेशी शिक्षा - CWSN अर्थ
डिसग्राफिया मुख्यतः संबंधित है,केवल श्रवण यंत्र की खराबी,"लेखन कौशल—वर्तनी, अक्षर-गठन, लिखित अभिव्यक्ति",केवल दौड़ने की गति,केवल रंग पहचान,B,"Dysgraphia = लिखना। दौड़ना स्थूल क्रिया, श्रवण यंत्र श्रवण, रंग दृष्टि। पढ़ना डिस्लेक्सिया से अलग रखें यद्यपि सह-अस्तित्व हो सकता है। उपाय: मौखिक उत्तर, अधिक समय, कीबोर्ड।",Expected - CG TET | CDP - CWSN व समावेशी शिक्षा - डिसग्राफिया
डिसकैलकुलिया का अर्थ है,केवल दृष्टिहीनता,केवल पठन-अक्षमता,"संख्या, गणना और गणितीय अवधारणाओं में विशिष्ट कठिनाई",केवल वाक्-पेशीय विकार,C,"Dyscalculia = गणित LD। पठन डिस्लेक्सिया, वाक् डिसरथ्रिया, दृष्टिहीनता संवेदी अक्षमता। IQ सामान्य हो सकती है। ठोस सामग्री, चरणबद्ध अभ्यास सहायक।",Expected - CG TET | CDP - CWSN व समावेशी शिक्षा - डिसकैलकुलिया
ADHD का पूरा नाम है,All Delayed Handwriting Disorder,Automatic Dyslexia Hyper Disease,Advanced Development Hearing Disorder,Attention Deficit Hyperactivity Disorder,D,"ध्यान-न्यूनता अतिसक्रियता विकार: असावधानी, अतिसक्रियता, आवेग—कम से कम दो परिवेश में। अन्य विकल्प गढ़े distractor हैं। यह ‘शरारत’ या कम बुद्धि नहीं। छोटे कार्य, विराम, स्पष्ट निर्देश कक्षा-रणनीति हैं।",Expected - CG TET | CDP - CWSN व समावेशी शिक्षा - ADHD नाम
ADHD युक्त बच्चे की कक्षा-रणनीति सर्वाधिक उपयुक्त है,"छोटे चरणों में कार्य, बार-बार सकारात्मक पुनर्बलन और गतिशील विराम",कार्य इतना बढ़ा देना कि थक जाए,पूरे दिन मौन दंड कुर्सी पर बाँधकर रखना,उसे हमेशा अलग विशेष स्कूल भेज देना अनिवार्यतः,A,"संरचित वातावरण, संक्षिप्त निर्देश, गतिविधि-अंतराल। बाँधना/केवल दंड अधिकार व नैतिकता के विरुद्ध। विशेष स्कूल अनिवार्य नहीं। कार्य-भार बढ़ाना आवेग बढ़ा सकता है। समावेश संभव है।",Expected - CG TET | CDP - CWSN व समावेशी शिक्षा - ADHD शिक्षण
अधिगम अक्षमता (LD) के विषय में सही है,यह केवल आलस्य का दूसरा नाम है,यह हमेशा बौद्धिक अक्षमता (कम IQ) का पर्याय है,यह उपचार से एक दिन में पूर्णतः जीन बदल देता है,प्रायः सामान्य या सामान्य से अधिक बुद्धि के बावजूद विशिष्ट कौशल में कठिनाई,D,"LD ≠ Intellectual Disability। आलस्य नैतिक आरोप है, निदान नहीं। जीन एक दिन में नहीं बदलते; शिक्षण अनुकूलन काम करता है। इसलिए ‘कमजोर बच्चा’ लेबल गलत।",Expected - CG TET | CDP - CWSN व समावेशी शिक्षा - LD vs IQ
ऑटिज्म स्पेक्ट्रम की विशेषता हो सकती है,सामाजिक संचार में कठिनाई तथा दोहरावपूर्ण व्यवहार/रूचि,केवल गणित में अति-प्रतिभा अनिवार्य रूप से,केवल बाएँ हाथ का प्रयोग,केवल श्रवण यंत्र न लगाना,A,"ASD: आँख-संपर्क, भाषा-प्रगति, रूटीन, संवेदी संवेदनशीलता—स्पेक्ट्रम विविध है। गणित प्रतिभा अनिवार्य नहीं। श्रवण/हाथ-पन LD/ASD नहीं ठहराते। दृश्य समय-सारिणी, स्पष्ट रूटीन सहायक।",Expected - CG TET | CDP - CWSN व समावेशी शिक्षा - ऑटिज्म
व्यक्तिगत शिक्षा योजना (IEP) है,केवल शिक्षक की निजी डायरी जिसका अभिभावक से कोई संबंध नहीं,केवल वार्षिक उत्सव का निमंत्रण पत्र,"CWSN की शक्ति, लक्ष्य, अनुकूलन और आकलन दर्ज करने वाला लिखित सहयोग-योजना",वंशानुक्रम बदलने का चिकित्सा प्रमाण,C,"IEP शिक्षक, विशेष शिक्षक, अभिभावक साथ बनाते हैं। उत्सव/डायरी/जीन-प्रमाण नहीं। समावेश को व्यावहारिक बनाने का दस्तावेज यही है।",Expected - CG TET | CDP - CWSN व समावेशी शिक्षा - IEP
"RPWD अधिनियम, 2016 में विकलांगताओं के प्रकार लगभग हैं",100 अनिवार्यतः केवल दृष्टि,21,2,कोई सूची नहीं दी गई,B,Rights of Persons with Disabilities Act 2016: 21 श्रेणियाँ (पहले PWD 1995 में 7)। परीक्षा अंक 21 याद रखे। केवल दृष्टि नहीं। सूची है। शिक्षा में समान अवसर व बाधारहित पहुँच कानूनी कर्तव्य है।,Expected - CG TET | CDP - CWSN व समावेशी शिक्षा - RPWD 2016
सलामांका घोषणा (1994) बल देती है,मूल्यांकन पूरी तरह बंद करने पर,केवल छात्रावास में पृथक रखने पर,CWSN की शिक्षा पूर्णतः प्रतिबंधित करने पर,नियमित विद्यालयों में समावेशी शिक्षा पर,D,"UNESCO Salamanca: inclusive schools best for most. प्रतिबंध/पृथक्करण विरोधी। आकलन बंद नहीं, अनुकूलित आकलन चाहिए। अंतरराष्ट्रीय आधार जिसे TET उद्धृत करता है।",Expected - CG TET | CDP - CWSN व समावेशी शिक्षा - सलामांका
न्यूनतम प्रतिबंधात्मक वातावरण (LRE) का अर्थ है,हमेशा सबसे बंद विशेष संस्थान,घर से बाहर निकलने पर रोक,केवल परीक्षा से वंचित रखना,"जितना संभव हो सामान्य कक्षा में, जितनी जरूरत उतनी अतिरिक्त सहायता",D,"LRE: अधिकार के साथ व्यावहारिकता। सबसे बंद संस्थान अंतिम विकल्प। घर-कैद/परीक्षा-वंचन अधिकार हनन। गंभीर आवश्यकता पर संसाधन कक्ष/विशेष सहयोग, पर लक्ष्य मुख्यधारा भागीदारी है।",Expected - CG TET | CDP - CWSN व समावेशी शिक्षा - LRE
दृष्टिबाधित बच्चे के लिए उपयुक्त सामग्री है,केवल छोटे हल्के पेंसिल से दूर बैठकर पढ़ना,बोर्ड का अत्यंत हल्का लेखन बिना वर्णन,"ब्रेल, बड़ी छपाई, श्रव्य पुस्तक और स्पर्श मानचित्र",केवल रंगीन चाक जो दिखे ही नहीं,C,Low vision: large print; blindness: Braille/audio/tactile। दूर/हल्की लिखावट बाधा बढ़ाती है। मौखिक वर्णन + स्पर्श समावेश है।,Expected - CG TET | CDP - CWSN व समावेशी शिक्षा - दृष्टिबाधित सामग्री
श्रवणबाधित बच्चे की शिक्षा में सहायक है,शिक्षक का पीठ करके बोलना,"सामने बैठना, होंठ-पठन, सांकेतिक भाषा और दृश्य संकेत",सभी श्रव्य परीक्षा बिना विकल्प,केवल फुसफुसाहट में निर्देश,B,"चेहरा दिखे, इशारा/साइन, नोट, श्रवण यंत्र। पीठ/फुसफुसाहट बाधा। केवल श्रव्य परीक्षा भेदभाव। मंद हानि (26–40 dB) में यही रणनीति अक्सर काफी।",Expected - CG TET | CDP - CWSN व समावेशी शिक्षा - श्रवणबाधित शिक्षण
धीमे शिक्षार्थी (Slow learner) और अधिगम अक्षमता में अंतर है,धीमे शिक्षार्थी कभी प्रगति नहीं कर सकते,LD का अर्थ हमेशा कम IQ है,दोनों शब्द पूर्ण पर्याय हैं,धीमे शिक्षार्थी सामान्यतः सभी विषयों में मंद गति; LD विशिष्ट क्षेत्र में कठिनाई,D,"Slow learner: overall slower, often IQ borderline; LD: uneven profile, specific. पर्याय नहीं। LD≠कम IQ। धीमे शिक्षार्थी भी प्रगति करते हैं—अधिक समय, दोहराव, मूर्त उदाहरण।",Expected - CG TET | CDP - CWSN व समावेशी शिक्षा - धीमे शिक्षार्थी vs LD
प्रतिभाशाली बच्चों की आवश्यकता है,उन्हें दंडित करना ताकि अहं न बढ़े,उन्हें CWSN की परिभाषा से हमेशा बाहर रखना,"समृद्ध/त्वरित पाठ्यचर्या, चुनौतीपूर्ण कार्य और सृजन अवसर",उन्हें हमेशा अनदेखा करना क्योंकि वे स्वयं सीख लेंगे,C,Gifted boredom/underachievement हो सकता है—इसलिए विशेष शिक्षा में शामिल। अनदेखा/दंड क्षमता कुचलते हैं। 2022 PYQ: गिफ्टेड विशेष शिक्षा का भाग।,Expected - CG TET | CDP - CWSN व समावेशी शिक्षा - प्रतिभाशाली
सहपाठी अनुशिक्षण (Peer tutoring) समावेश में उपयोगी है क्योंकि,यह कानूनी रूप से वर्जित है,ZPD में सामाजिक सहारा मिलता है और स्वीकृति बढ़ती है,यह शिक्षक की जिम्मेदारी पूर्णतः समाप्त कर देता है,यह CWSN को हमेशा पीछे धकेलता है,B,"सक्षम साथी मॉडल+सहायता; शिक्षक निगरानी रखता है। जिम्मेदारी शिक्षक की रहती है। पीछे धकेलना गलत क्रियान्वयन है, सिद्धांत नहीं। वर्जित नहीं—2022 सहपाठी अनुशिक्षण CWSN रणनीति थी।",Expected - CG TET | CDP - CWSN व समावेशी शिक्षा - सहपाठी अनुशिक्षण
बहु-इंद्रिय शिक्षण डिस्लेक्सिया में इसलिए उपयुक्त है क्योंकि,यह पठन को पूर्णतः प्रतिबंधित करता है,यह ब्रेल को अवैध बनाता है,"देखकर, सुनकर, छूकर-बोलकर पथ मजबूत होते हैं",यह केवल दंड बढ़ाता है,C,Orton-Gillingham शैली: दृश्य-श्रव्य-गति-स्पर्श। दंड/पठन-प्रतिबंध/ब्रेल-निषेध विरोधी हैं। एक इंद्रिय कमजोर हो तो दूसरी सहारा दे।,Expected - CG TET | CDP - CWSN व समावेशी शिक्षा - बहु-इंद्रिय
समावेशी आकलन की विशेषता है,"अतिरिक्त समय, मौखिक/वैकल्पिक माध्यम और व्यक्तिगत लक्ष्य",मूल्यांकन पूरी तरह समाप्त करना,CWSN को अंक हमेशा शून्य देना,सभी को एक ही गति से बिना सुविधा के एक पेपर,A,"Equity: समान अवसर के लिए भिन्न सुविधा (accommodation), लक्ष्य घटाना अलग (modification)। एक गति भेदभाव। शून्य/समाप्ति अधिकार हनन। डायग्नोस्टिक+सतत आकलन 2022 से जुड़ता है।",Expected - CG TET | CDP - CWSN व समावेशी शिक्षा - समावेशी आकलन
बाधारहित विद्यालय का अर्थ है,CWSN प्रवेश पर रोक,"रैंप, सुगम शौचालय, स्पष्ट संकेत और पहुँच योग्य कक्षा",केवल तीसरी मंजिल बिना लिफ्ट,केवल ऊँची सीढ़ियाँ अनिवार्य करना,B,"Universal design: भौतिक+सूचना बाधा हटाओ। सीढ़ी-रोक RPWD के विरुद्ध। समावेश भवन से शुरू होता है, केवल दया से नहीं।",Expected - CG TET | CDP - CWSN व समावेशी शिक्षा - बाधारहित
संसाधन कक्ष (Resource room) का उद्देश्य है,उन्हें स्थायी रूप से स्कूल से निकालना,CWSN को आंशिक समय विशेष सहायता देकर मुख्य कक्षा से जोड़े रखना,केवल शिक्षकों के चाय कक्ष का दूसरा नाम,सामान्य बच्चों का प्रवेश वर्जित कर पूरा विद्यालय बदलना,B,"Pull-out limited support, फिर inclusive class। निकालना LRE-विरोधी। चाय कक्ष नहीं। पूरा स्कूल ‘केवल CWSN’ बनाना विशेष स्कूल मॉडल है, संसाधन कक्ष नहीं।",Expected - CG TET | CDP - CWSN व समावेशी शिक्षा - संसाधन कक्ष
शिक्षक का सकारात्मक दृष्टिकोण समावेश में निर्णायक है क्योंकि,कानून शिक्षक के व्यवहार से पूरी तरह स्वतंत्र है,"अपेक्षा, स्वीकृति और अनुकूलन बच्चे की भागीदारी तय करते हैं",नकारात्मक लेबल से क्षमता बढ़ती है,दृष्टिकोण का अधिगम पर कोई प्रभाव नहीं,B,"Pygmalion: कम अपेक्षा कम उपलब्धि। कानून+दृष्टिकोण दोनों। लेबल कलंक बढ़ाते हैं, क्षमता नहीं। TET बार-बार ‘अलग मत करो, शामिल करो’ पूछता है।",Expected - CG TET | CDP - CWSN व समावेशी शिक्षा - शिक्षक दृष्टिकोण
लेबलिंग (Labeling) का जोखिम है,कानूनी अधिकारों का स्वतः विस्तार बिना सेवा के,हमेशा IQ में जादुई वृद्धि,पाठ्यचर्या का स्वतः सरल होना,"कलंक, कम अपेक्षा और आत्म-अवधारणा को ठेस",D,"निदान सेवा दिलाने के लिए जरूरी हो सकता है, पर सार्वजनिक नकारात्मक लेबल हानिकारक। IQ नहीं बढ़ता लेबल से। अधिकार सेवा से मिलते हैं, नाम से नहीं। व्यक्ति-प्रथम भाषा: ‘डिस्लेक्सिया युक्त बच्चा’।",Expected - CG TET | CDP - CWSN व समावेशी शिक्षा - लेबलिंग
वाक् दोष वाले बच्चे के लिए उपयुक्त है,हँसकर नकल करना ताकि हिम्मत आए,बोलने पर पूर्ण प्रतिबंध,"धैर्य, वाक्-चिकित्सक सहयोग और उपहास-मुक्त कक्षा",केवल लिखित परीक्षा पर आजीवन रोक,C,Speech impairment: stammering/articulation; Dysarthria मांसपेशी। नकल आत्मविश्वास तोड़ती है। प्रतिबंध/परीक्षा-रोक अधिकार हनन। अतिरिक्त समय व मौखिक-लिखित विकल्प दें।,Expected - CG TET | CDP - CWSN व समावेशी शिक्षा - वाक् दोष
शून्य अस्वीकृति (Zero rejection) नीति कहती है,किसी बच्चे को विकलांगता के आधार पर प्रवेश से वंचित न किया जाए,CWSN के अंक हमेशा अस्वीकार हों,केवल ग्रामीण बच्चों को प्रवेश मिले,शिक्षक CWSN को कक्षा से निकाल सकते हैं,A,IEDSS/समावेश: प्रवेश से मनाही नहीं। अंक अस्वीकार/निकालना/ग्रामीण-सीमा नीति के विपरीत। RTE पड़ोसी स्कूल का अधिकार।,Expected - CG TET | CDP - CWSN व समावेशी शिक्षा - शून्य अस्वीकृति
NEP 2020 समावेश के संदर्भ में बल देता है,मूल्यांकन में किसी सुविधा का निषेध,CWSN को शिक्षा प्रणाली से बाहर रखने,समान व न्यायसंगत गुणवत्तापूर्ण शिक्षा तथा विविध शिक्षार्थियों की भागीदारी,केवल अंग्रेजी माध्यम विशेष स्कूल अनिवार्य,C,"NEP/SDG-4: inclusive equitable education। बाहर रखना, केवल अलग माध्यम, सुविधा-निषेध नीति-विरोधी। प्रारंभिक पहचान व शिक्षक-प्रशिक्षण पर जोर।",Expected - CG TET | CDP - CWSN व समावेशी शिक्षा - NEP 2020
