question,option_a,option_b,option_c,option_d,correct_answer,explanation,remark
The following disease has greater risk of developing hyperkalemia,Renal failure,Diarrhea,Head injury,Dementia,A,"The kidney excretes most of the daily potassium load. When GFR falls in renal failure, potassium is retained and plasma K+ rises. Diarrhea loses potassium in stool and usually causes hypokalemia, not hyperkalemia. Head injury and dementia do not by themselves raise K+. Nursing implications: monitor ECG, avoid potassium-sparing drugs and salt substitutes in oliguric patients, and never give IV potassium as a bolus.","Previous Year - RRB Nursing Superintendent 2025, 29 April Shift 2 | Physiology"
Hypokalemia predisposes to toxicity of which drug?,Digoxin,Heparin,Insulin,Paracetamol,A,"Low potassium makes the myocardium more sensitive to digoxin, so arrhythmias and nausea appear at otherwise normal digoxin levels. Always check K+ before and during digoxin therapy, especially if the patient is on loop or thiazide diuretics. Insulin can lower K+ by driving it into cells (used in hyperkalemia treatment). Paracetamol and heparin are not related in this way.",Expected - RRB Nursing Superintendent | Physiology - Electrolytes
ECG change most typical of hypocalcemia is:,Prominent U wave,Peaked T wave,Prolonged QT interval,Short QT interval,C,"Calcium mainly affects the ST segment duration. Low calcium lengthens the ST segment and therefore the QT interval, which can trigger torsades. High calcium shortens QT. Peaked T waves are hyperkalemia; U waves are hypokalemia. Clinical tetany (Chvostek, Trousseau) goes with hypocalcemia. After thyroidectomy, watch for hypoparathyroidism and falling calcium.",Expected - RRB Nursing Superintendent | Physiology - Electrolytes
The oxygen-carrying pigment of RBC is:,Cytochrome,Haemoglobin,Bilirubin,Myoglobin,B,Haemoglobin (Hb) in red cells binds oxygen in the lungs and releases it in tissues. Each Hb molecule has four haem groups and can carry four O2 molecules. Normal adult Hb is about 13-17 g/dL in men and 12-15 g/dL in women. Low Hb is anaemia; the patient looks pale and is tired because tissues get less oxygen. Myoglobin stores oxygen in muscle; bilirubin is a breakdown product of haem.,Expected - RRB Nursing Superintendent | Physiology - Blood
The average life span of a normal RBC is:,365 days,120 days,12 days,40 days,B,"Mature RBCs circulate about 120 days, then are destroyed mainly in the spleen. This is why after blood loss or haemolysis, anaemia takes time to recover, and why glycosylated Hb (HbA1c) reflects about 3 months of glucose control. Newborn RBCs live a shorter time, which contributes to physiological jaundice. Platelets live about 7-10 days; WBCs hours to years depending on type.",Expected - RRB Nursing Superintendent | Physiology - Blood
The most abundant plasma protein is:,Fibrinogen,Prothrombin,Globulin,Albumin,D,"Albumin is made in the liver and makes up more than half of plasma protein. It maintains colloid osmotic (oncotic) pressure so fluid stays in capillaries. Low albumin (liver failure, nephrotic syndrome, malnutrition) causes oedema. Globulins include antibodies. Fibrinogen is for clotting. If the liver fails, both albumin and clotting factors fall.",Expected - RRB Nursing Superintendent | Physiology - Blood
The first step in haemostasis after vessel injury is:,Vasoconstriction (vascular spasm),Antibody production,Conversion of plasminogen to plasmin,Fibrin formation,A,"Haemostasis has three steps: (1) vascular spasm reduces blood flow, (2) platelet plug forms, (3) coagulation cascade makes fibrin to stabilize the plug. Later, fibrinolysis (plasmin) dissolves the clot during healing. Nurses apply pressure to a bleeding wound because that supports the first mechanical step. Vitamin K is needed for factors II, VII, IX and X.",Expected - RRB Nursing Superintendent | Physiology - Blood
Vitamin K is required for synthesis of clotting factors:,"I, V, VIII, XIII","II, VII, IX, X","III, IV, VI","XI, XII only",B,"Vitamin K-dependent factors are II (prothrombin), VII, IX and X, plus proteins C and S. Warfarin blocks vitamin K recycling, so these factors fall and PT/INR prolongs. Newborns get vitamin K to prevent haemorrhagic disease. Bile is needed to absorb vitamin K, so obstructive jaundice can cause bleeding. Factor VIII is not vitamin K dependent (that's why haemophilia A is different from warfarin effect).",Expected - RRB Nursing Superintendent | Physiology - Blood
Universal donor for packed red cells is:,AB positive,B negative,O negative,A positive,C,"Group O RBCs have neither A nor B antigens, and O negative also lacks RhD, so they can be given in emergency when group is unknown. AB plasma is the universal plasma donor because it has no anti-A or anti-B. Always still do identification checks: clerical error is the commonest cause of ABO mismatch. Mismatch causes acute haemolytic reaction (fever, back pain, haemoglobinuria).",Expected - RRB Nursing Superintendent | Physiology - Blood
"Erythropoietin, which stimulates RBC production, is mainly secreted by the:",Bone marrow stroma only,Liver,Spleen,Kidney,D,"Peritubular interstitial cells of the kidney sense hypoxia and release erythropoietin (EPO). EPO acts on bone marrow to make more RBCs. In chronic kidney disease EPO falls, causing normocytic anaemia; recombinant EPO is the specific treatment. High altitude and lung disease raise EPO. The liver makes a little EPO in the fetus.",Expected - RRB Nursing Superintendent | Physiology - Blood
Which drug is used for the treatment of anemia associated with renal failure?,Ferrous sulphate,Interleukin,Iron dextran,Erythropoietin,D,"Anaemia of CKD is mainly due to lack of erythropoietin, not simple iron deficiency. Recombinant EPO or darbepoetin corrects it. Iron is added only if stores are low, because EPO therapy uses up iron. Interleukin is not a standard anaemia drug. Monitor blood pressure: EPO can cause hypertension. Target Hb is usually not pushed into the high-normal range because of thrombosis risk.","Previous Year - RRB Nursing Superintendent 2025, 29 April Shift 2 | Physiology"
Haematocrit is the:,Clotting time in minutes,Number of WBC per mm3,Amount of fibrinogen,Percentage of blood volume occupied by RBCs,D,Haematocrit (PCV) is the packed cell volume: normally about 40-50% in men and 36-46% in women. It rises in polycythemia and dehydration (haemoconcentration) and falls in anaemia and overhydration. Nurses use it with Hb to assess oxygen-carrying capacity and fluid status after burns or bleeding.,Expected - RRB Nursing Superintendent | Physiology - Blood
The pH of normal arterial blood is approximately:,7.80,7.0,7.40,6.8,C,"Arterial pH is tightly kept at 7.35-7.45 (average 7.40). Below 7.35 is acidaemia; above 7.45 is alkalaemia. Buffers (bicarbonate, haemoglobin, phosphate), lungs (CO2 removal) and kidneys (H+ excretion, HCO3- reabsorption) defend this range. A pH under 6.8 or over 7.8 is usually incompatible with life. Always interpret pH together with PaCO2 and HCO3- (ABG).",Expected - RRB Nursing Superintendent | Physiology - Acid-base
Cardiac output equals:,Blood pressure x resistance,Stroke volume / heart rate,Heart rate x stroke volume,Systolic pressure - diastolic pressure,C,"Cardiac output (CO) is the volume pumped by each ventricle per minute: CO = heart rate x stroke volume. At rest it is about 5 L/min. Stroke volume is affected by preload (Starling's law), afterload and contractility. If HR is 70 and SV is 70 mL, CO = 4.9 L/min. Shock is inadequate CO or distribution relative to tissue need.",Expected - RRB Nursing Superintendent | Physiology - CVS
Starling's law of the heart states that:,"The more the cardiac muscle is stretched (within limits), the stronger the contraction",Heart rate is controlled only by adrenaline,Valves prevent atrial filling,Blood flows from low to high pressure,A,"Frank-Starling law: increased venous return stretches ventricular fibres (increased preload) and they contract more forcefully, raising stroke volume. This matches right and left ventricular output. In heart failure the muscle is overstretched and the curve flattens, so extra fluid does not raise CO and oedema appears. That is why we use diuretics and venodilators to reduce preload in CHF.",Expected - RRB Nursing Superintendent | Physiology - CVS
The pacemaker of the heart is the:,Bundle of His,SA node,Purkinje fibres,AV node,B,"The SA node in the right atrium near the SVC opening fires fastest (60-100/min) and is the normal pacemaker. If it fails, the AV node takes over at 40-60/min (junctional rhythm). Purkinje fibres fire even slower. Atropine increases SA rate by blocking vagus; beta-blockers slow it. Sinus tachycardia and sinus bradycardia both originate in the SA node.",Expected - RRB Nursing Superintendent | Physiology - CVS
During ventricular systole the AV valves are:,Half open,Open,Absent,Closed,D,"When ventricles contract, pressure rises above atrial pressure and the mitral and tricuspid valves close, producing the first heart sound (S1). Semilunar valves then open and blood is ejected. If an AV valve is incompetent, blood regurgitates into the atrium (systolic murmur). Never say AV valves open in systole—that is diastole, when ventricles fill.",Expected - RRB Nursing Superintendent | Physiology - CVS
The first heart sound (S1) is due to closure of:,Only the aortic valve,Aortic and pulmonary valves,Mitral and tricuspid valves,Only the mitral valve,C,S1 ('lub') is closure of mitral and tricuspid (AV) valves at the start of ventricular systole. S2 ('dub') is closure of aortic and pulmonary (semilunar) valves at the start of diastole. S1 is louder at the apex; S2 at the base. A split S2 is often normal on inspiration. Muffled heart sounds with low BP suggest tamponade or shock.,Expected - RRB Nursing Superintendent | Physiology - CVS
Pulse pressure is:,Mean of systolic and diastolic,Systolic - diastolic pressure,Diastolic + 1/3 pulse pressure,Systolic + diastolic pressure,B,"Pulse pressure = systolic minus diastolic BP. If BP is 120/80, pulse pressure is 40 mmHg (normal about 30-50). Wide pulse pressure occurs in aortic regurgitation, AV fistula and old age (stiff arteries). Narrow pulse pressure occurs in shock, tamponade and severe AS. Mean arterial pressure is diastolic + 1/3 of pulse pressure, not the pulse pressure itself.",Expected - RRB Nursing Superintendent | Physiology - CVS
Baroreceptors are sensitive to changes in ________________.,oxygen saturation,blood volume,blood pH,arterial blood pressure,D,"Baroreceptors in the carotid sinus and aortic arch are stretch receptors. When arterial pressure rises they fire more, inhibit sympathetic outflow and stimulate vagus, so heart rate and vasoconstriction fall. When pressure drops (standing, haemorrhage) they fire less, sympathetic activity rises, and BP is restored. They do not directly sense oxygen (that's chemoreceptors) or pH.","Previous Year - RRB Nursing Superintendent 2025, 29 April Shift 2 | Physiology"
"When a person's blood pressure rises, the haemostatic mechanism to compensate for an elevation involves stimulation of:","chemoreceptors that stimulate the sympathetic nervous system, causing an increased heart rate","baroreceptors that inhibit the sympathetic nervous system, causing vasodilation","chemoreceptors that inhibit the sympathetic nervous system, causing vasodilation","baroreceptors that inhibit the parasympathetic nervous system, causing vasodilation",B,"High BP stretches baroreceptors. Their afferents (CN IX from carotid, CN X from aorta) go to the medulla. The response is less sympathetic and more parasympathetic activity: heart slows and vessels dilate, bringing BP down. Chemoreceptors respond to low O2, high CO2 and low pH, and they increase, not decrease, ventilation and often sympathetic drive. Option D is wrong because baroreceptors stimulate, not inhibit, parasympathetic outflow when pressure is high.","Previous Year - RRB Nursing Superintendent 2025, 29 April Shift 2 | Physiology"
Mean arterial pressure (MAP) is calculated as:,Systolic pressure only,Diastolic pressure + 1/3 pulse pressure,Heart rate x stroke volume,Systolic - diastolic,B,"MAP = diastolic BP + 1/3 (systolic - diastolic). Example: 120/80 → MAP = 80 + 13 = 93 mmHg. MAP is the driving pressure for organ perfusion. In shock, keep MAP generally ≥65 mmHg. MAP is closer to diastolic because diastole lasts longer than systole. Cardiac output is HR x SV, not MAP.",Expected - RRB Nursing Superintendent | Physiology - CVS
Normal adult blood pressure is about:,80/50 mmHg,120/80 mmHg,160/100 mmHg,90/40 mmHg,B,"A typical healthy adult BP is around 120/80 mmHg. Hypertension is diagnosed when values are persistently at or above 140/90 mmHg (clinic) as per common Indian exam teaching, though newer guidelines use lower office thresholds. Hypotension is often systolic <90 mmHg with symptoms. Always use the correct cuff size; a small cuff falsely raises BP.",Expected - RRB Nursing Superintendent | Physiology - CVS
The P wave of ECG represents:,Ventricular repolarization,Atrial depolarization,Atrial repolarization,Ventricular depolarization,B,P wave = atrial depolarization (SA node to atria). QRS = ventricular depolarization. T wave = ventricular repolarization. Atrial repolarization is hidden in the QRS. Absent P waves with irregular QRS suggest atrial fibrillation. Saw-tooth waves suggest atrial flutter. Prolonged PR interval is first-degree AV block.,Expected - RRB Nursing Superintendent | Physiology - CVS
The QRS complex represents:,Ventricular depolarization,Atrial depolarization,Ventricular repolarization,SA node firing only,A,"QRS is ventricular depolarization, which triggers ventricular contraction. A wide QRS means conduction delay (bundle branch block, ventricular rhythm, hyperkalemia). Normal QRS is <0.12 s. ST elevation after QRS suggests acute STEMI. Nurses must know this to recognize shockable VF/VT versus asystole.",Expected - RRB Nursing Superintendent | Physiology - CVS
Life threatening condition due to rapid loss of blood or body fluids is known as _______,Hypovolemic shock,Neurogenic shock,Anaphylactic shock,Septic shock,A,"Hypovolemic shock is inadequate circulating volume from haemorrhage or severe dehydration (vomiting, diarrhoea, burns). Signs: tachycardia, weak pulse, low BP, cold clammy skin, oliguria. Neurogenic shock is loss of sympathetic tone (bradycardia, warm skin). Anaphylaxis is IgE-mediated vasodilatation. Sepsis is distributive shock from infection. First nursing action: stop bleeding, give oxygen, rapid IV crystalloid, keep warm, and prepare for blood if haemorrhagic.","Previous Year - RRB Staff Nurse 2019, 21 July Shift I | Physiology"
In compensated hypovolemic shock the pulse is typically:,Absent from the start,Rapid and weak (thready),Irregular only,Slow and bounding,B,"Baroreceptor reflex raises heart rate and constricts vessels to maintain BP in early (compensated) shock. The pulse is therefore fast and thready. BP may still be near normal, so tachycardia and delayed capillary refill are earlier clues than hypotension. Bradycardia with hypotension suggests neurogenic shock or pre-terminal decompensation. Never wait for a very low BP to start resuscitation.",Expected - RRB Nursing Superintendent | Physiology - CVS
Coronary blood flow is greatest during:,Ventricular systole,Atrial systole only,Ventricular diastole,Isovolumetric contraction,C,"The left ventricular wall compresses intramural arteries during systole, so most left coronary flow occurs in diastole. Tachycardia shortens diastole and can cause ischaemia, especially with coronary stenosis. This is why aortic regurgitation and severe tachycardia worsen angina. Keep diastolic pressure adequate in cardiogenic shock.",Expected - RRB Nursing Superintendent | Physiology - CVS
Normal tidal volume in an adult is about:,3000 mL,500 mL,150 mL,1500 mL,B,"Tidal volume (TV) is the air inspired or expired in a quiet breath, about 500 mL. Anatomical dead space is about 150 mL, so alveolar ventilation per breath is about 350 mL. Minute ventilation = TV x respiratory rate. In nursing, tidal volume on a ventilator is often set around 6-8 mL/kg ideal body weight to avoid barotrauma.",Expected - RRB Nursing Superintendent | Physiology - Respiratory
Vital capacity is:,TV + IRV + ERV,TV + RV,TV + IRV,RV + ERV,A,"Vital capacity (VC) is the maximum air that can be expired after a maximum inspiration: VC = tidal volume + inspiratory reserve + expiratory reserve. Residual volume (RV) remains after maximum expiration and cannot be measured by simple spirometry. Total lung capacity = VC + RV. VC falls in restrictive disease (fibrosis, pregnancy, ascites).",Expected - RRB Nursing Superintendent | Physiology - Respiratory
Residual volume is the air:,Left in lungs after maximum expiration,Expired in a normal breath,Inspired in a deep breath,In dead space only,A,"Residual volume keeps alveoli from collapsing and allows continuous gas exchange between breaths. It is about 1200 mL. It increases in obstructive diseases (COPD, asthma) because of air trapping. Nurses see this as a barrel chest and prolonged expiration. RV cannot be exhaled, so spirometry alone underestimates TLC unless extra methods are used.",Expected - RRB Nursing Superintendent | Physiology - Respiratory
The most important chemical stimulus to breathing in a healthy person is:,High arterial PCO2,High blood glucose,Low arterial oxygen,Low blood pressure,A,"Central chemoreceptors in the medulla respond to CSF H+ which follows arterial PCO2. A rise in CO2 (hypercapnia) is the strongest drive to increase ventilation. Peripheral chemoreceptors (carotid, aortic) sense low PaO2, high PCO2 and low pH. In chronic COPD, hypoxic drive may become important; uncontrolled high-flow oxygen can then reduce ventilation. That is why we titrate oxygen in COPD, not because oxygen is 'poison' in all patients.",Expected - RRB Nursing Superintendent | Physiology - Respiratory
Oxygen is carried in blood mainly:,Dissolved in plasma only,Bound to albumin,Bound to haemoglobin,As bicarbonate,C,"About 97% of oxygen is bound to haemoglobin; only 3% is dissolved. Dissolved O2 determines PaO2 and saturation of Hb. CO2 is carried mainly as bicarbonate (about 70%), some bound to Hb (carbamino) and some dissolved. Cyanide and anaemia can cause tissue hypoxia even with a normal PaO2, because either utilization or content is wrong.",Expected - RRB Nursing Superintendent | Physiology - Respiratory
The lack of oxygen in the tissue is called,Anorexia,Anoxia,Cyanosis,Hypoxia,D,"Hypoxia means inadequate oxygen at tissue level. Anoxia is sometimes used for complete absence of oxygen, but exam keys usually prefer hypoxia for reduced tissue O2. Anorexia is loss of appetite. Cyanosis is bluish colour from excess deoxyhaemoglobin (usually >5 g/dL). Types of hypoxia: hypoxic (low PaO2), anaemic (low Hb or CO poisoning), stagnant (low flow, shock), histotoxic (cyanide). Give oxygen, treat the cause, and monitor SpO2.","Previous Year - RRB Staff Nurse 2019, 21 July Shift I | Physiology"
Cyanosis is likely when deoxygenated haemoglobin is about:,15 g/dL,5 g/dL or more,20 g/dL,0.5 g/dL,B,"Central cyanosis appears when reduced Hb is roughly ≥5 g/dL in capillary blood. In severe anaemia, cyanosis may be absent because there is not enough Hb to look blue even if the patient is hypoxic. Look at tongue and mucosa for central cyanosis (lung or heart disease). Peripheral cyanosis of cold hands can occur with normal arterial oxygenation.",Expected - RRB Nursing Superintendent | Physiology - Respiratory
Most carbon dioxide is transported in blood as:,Dissolved CO2,Carbamino haemoglobin,Bicarbonate ion,Carbonic acid gas bubbles,C,"About 70% of CO2 is carried as bicarbonate. In RBCs, carbonic anhydrase converts CO2 + H2O to H2CO3, which dissociates to H+ and HCO3-. HCO3- leaves the RBC in exchange for chloride (chloride shift). About 20-25% is carbamino compounds on Hb; 7-10% is dissolved. This is why we measure HCO3- on ABG as the metabolic component.",Expected - RRB Nursing Superintendent | Physiology - Respiratory
Surfactant reduces:,Lung compliance,Dead space,Haemoglobin affinity for oxygen,Surface tension in alveoli,D,"Surfactant from type II pneumocytes lowers alveolar surface tension, increases compliance and prevents collapse (atelectasis), especially in small alveoli. Lack of surfactant in preterm babies causes hyaline membrane disease/RDS. Betamethasone to the mother before preterm birth accelerates fetal surfactant. Nurses keep the infant warm and support breathing; do not forget that hypoxia and cold worsen RDS.",Expected - RRB Nursing Superintendent | Physiology - Respiratory
Anatomical dead space is approximately:,50 mL,500 mL,150 mL,1000 mL,C,"Anatomical dead space is the conducting zone (nose to terminal bronchioles) that does not exchange gas, about 150 mL (roughly 2 mL/kg). Physiological dead space also includes under-perfused alveoli (high V/Q). PE increases alveolar dead space. Rapid shallow breathing wastes a larger fraction of each breath in dead space, so encourage deep breathing after surgery.",Expected - RRB Nursing Superintendent | Physiology - Respiratory
The normal respiratory rate of a healthy adult at rest is about:,60 /min,30-40 /min,8-10 /min,12-20 /min,D,"Adult resting RR is about 12-20 breaths/min. Newborns breathe 40-60 /min. Tachypnoea is an early sign of hypoxia, acidosis, pain and shock. Count for a full minute in infants. A falling RR in a previously tachypnoeic asthmatic or opioid-treated patient is a danger sign of exhaustion or respiratory depression.",Expected - RRB Nursing Superintendent | Physiology - Respiratory
Bile salts are important for digestion of,Fat,Protein,Carbohydrate,Iron,A,"Bile salts emulsify large fat globules into tiny droplets so pancreatic lipase can act on a larger surface. They also help form micelles that carry fatty acids and fat-soluble vitamins (A, D, E, K) to the ileal mucosa. Proteins need pepsin and pancreatic proteases; starch needs amylase. Without bile (obstructive jaundice) stools become pale, greasy (steatorrhoea) and vitamin K deficiency can cause bleeding.","Previous Year - RRB Staff Nurse 2019, 21 July Shift I | Physiology"
The enzyme that starts protein digestion in the stomach is:,Trypsin,Pepsin,Amylase,Lipase,B,"Pepsinogen from chief cells is activated to pepsin by HCl from parietal cells. Pepsin begins protein digestion. Salivary amylase starts starch digestion in the mouth but is inactivated by gastric acid. Trypsin is the main pancreatic protease, acting in the duodenum after enterokinase activates trypsinogen. Intrinsic factor, also from parietal cells, is needed for vitamin B12 absorption—not for protein digestion.",Expected - RRB Nursing Superintendent | Physiology - Digestive
Hydrochloric acid in the stomach is secreted by:,Goblet cells,G cells,Chief cells,Parietal (oxyntic) cells,D,"Parietal cells secrete HCl and intrinsic factor. Chief cells secrete pepsinogen. G cells in the antrum secrete gastrin, which stimulates acid. Goblet cells secrete mucus. Acid kills microbes, activates pepsin and helps iron absorption. PPIs and H2 blockers reduce acid and are used for ulcers and GERD. Vagus (ACh) also stimulates acid secretion.",Expected - RRB Nursing Superintendent | Physiology - Digestive
Intrinsic factor is required for absorption of:,Iron,Vitamin B12,Vitamin C,Folic acid,B,Intrinsic factor binds vitamin B12 (cobalamin) so it can be absorbed in the terminal ileum. Lack of IF after gastrectomy or in pernicious anaemia (autoimmune parietal-cell destruction) causes megaloblastic anaemia and neuropathy. Folic acid is absorbed in the jejunum and does not need IF. Iron needs acid and is absorbed in duodenum. Give IM or high-dose oral B12 as indicated; folate alone can mask B12 anaemia but not the neuropathy.,Expected - RRB Nursing Superintendent | Physiology - Digestive
Most water and nutrients are absorbed in the:,Large intestine,Small intestine,Oesophagus,Stomach,B,"The small intestine (especially jejunum) absorbs most water, electrolytes, carbohydrates, proteins and fats because of huge surface area (folds, villi, microvilli). The colon absorbs remaining water and electrolytes and forms stool. The stomach absorbs little (alcohol, some drugs). Ileum specifically absorbs B12-IF complex and bile salts (enterohepatic circulation).",Expected - RRB Nursing Superintendent | Physiology - Digestive
Lactose intolerance occurs due to deficiency of ___________.,Isomaltase,Lactase,beta-glycosidase,Amylase,B,"Lactase on the brush border splits lactose into glucose and galactose. If lactase is low, lactose stays in the gut, is fermented by bacteria, and causes bloating, cramps, diarrhoea and gas after milk. It is common in adults worldwide. Management is lactose-free diet or lactase enzyme; yogurt may be tolerated. Amylase digests starch; sucrase-isomaltase digests sucrose and starch branches.","Previous Year - RRB Nursing Superintendent 2025, 29 April Shift 1 | Physiology"
The hormone that stimulates gallbladder contraction and pancreatic enzyme secretion is:,Gastrin,Secretin,Somatostatin,Cholecystokinin (CCK),D,"Fat and protein in the duodenum release CCK. CCK contracts the gallbladder, relaxes the sphincter of Oddi, and stimulates pancreatic enzymes. Secretin is released by acid and stimulates watery bicarbonate-rich pancreatic juice to neutralize acid. Gastrin stimulates gastric acid. Somatostatin is inhibitory. Gallbladder pain after a fatty meal is a CCK-related clinical point.",Expected - RRB Nursing Superintendent | Physiology - Digestive
Swallowing is coordinated mainly by the centre in the:,Basal ganglia only,Cerebellum,Spinal cord lumbar segments,Medulla oblongata,D,"The swallowing (deglutition) centre is in the medulla. CN IX and X provide the afferent and motor control of the pharyngeal phase. After stroke involving the brainstem or these nerves, aspiration is a major risk—keep NPO until swallow is tested, sit the patient up, and use thickened fluids as advised. The oral phase is voluntary; pharyngeal and oesophageal phases are reflex.",Expected - RRB Nursing Superintendent | Physiology - Digestive
Defecation reflex is initiated by:,Emptying of the stomach only,Distension of the rectum,Contraction of the gallbladder,Secretion of saliva,B,"Rectal stretch receptors send afferents to the sacral spinal cord. The reflex relaxes the internal anal sphincter (autonomic) while the external sphincter is under voluntary control. Gastrocolic reflex after meals can add urgency. Constipation in bedridden patients is common; encourage mobility, fibre, fluids and a toilet routine. Spinal cord injury above the sacral segments alters this reflex.",Expected - RRB Nursing Superintendent | Physiology - Digestive
The body's main energy currency is:,Glucose stored as urea,DNA,ATP,Bile salts,C,"ATP (adenosine triphosphate) stores energy in phosphate bonds and fuels ion pumps, muscle contraction and synthesis. Glucose, fatty acids and amino acids are oxidised to make ATP, mainly in mitochondria (Krebs cycle and electron transport, needing oxygen). Anaerobic glycolysis makes little ATP and lactic acid. In shock, anaerobic metabolism causes lactic acidosis.",Expected - RRB Nursing Superintendent | Physiology - Metabolism
Basal metabolic rate (BMR) is highest in:,Sleep in a cold room after fasting only,Fever and hyperthyroidism,Hypothyroidism,Starvation,B,"BMR is energy use at complete rest, 12 hours after food, in a thermoneutral room. It rises with fever (about 13% per °C), hyperthyroidism, pregnancy, and large body surface in infants. It falls in hypothyroidism, starvation and hypothermia. This is why febrile patients need extra calories and fluids, and why hypothyroid patients gain weight and feel cold.",Expected - RRB Nursing Superintendent | Physiology - Metabolism
